country_code,indicator,age_range,measure,frequency,time,value
AUS,NEET,15_29,PC_AGE,A,2022,9.6
AUT,NEET,15_29,PC_AGE,A,2022,10.5
BEL,NEET,15_29,PC_AGE,A,2022,9.6
CAN,NEET,15_29,PC_AGE,A,2022,11.0
CZE,NEET,15_29,PC_AGE,A,2022,11.9
DNK,NEET,15_29,PC_AGE,A,2022,10.3
FIN,NEET,15_29,PC_AGE,A,2022,11.1
FRA,NEET,15_29,PC_AGE,A,2022,13.4
DEU,NEET,15_29,PC_AGE,A,2022,8.9
GRC,NEET,15_29,PC_AGE,A,2022,16.0
HUN,NEET,15_29,PC_AGE,A,2022,10.8
ISL,NEET,15_29,PC_AGE,A,2022,6.7
IRL,NEET,15_29,PC_AGE,A,2022,8.9
ITA,NEET,15_29,PC_AGE,A,2022,22.9
LUX,NEET,15_29,PC_AGE,A,2022,6.7
MEX,NEET,15_29,PC_AGE,A,2022,19.5
NLD,NEET,15_29,PC_AGE,A,2022,4.5
NZL,NEET,15_29,PC_AGE,A,2022,11.8
NOR,NEET,15_29,PC_AGE,A,2022,6.5
POL,NEET,15_29,PC_AGE,A,2022,13.1
PRT,NEET,15_29,PC_AGE,A,2022,11.1
SVK,NEET,15_29,PC_AGE,A,2022,12.5
ESP,NEET,15_29,PC_AGE,A,2022,16.5
SWE,NEET,15_29,PC_AGE,A,2022,7.3
CHE,NEET,15_29,PC_AGE,A,2022,13.6
TUR,NEET,15_29,PC_AGE,A,2022,27.9
GBR,NEET,15_29,PC_AGE,A,2022,10.6
USA,NEET,15_29,PC_AGE,A,2022,14.5
BRA,NEET,15_29,PC_AGE,A,2022,20.0
COL,NEET,15_29,PC_AGE,A,2022,24.8
EST,NEET,15_29,PC_AGE,A,2022,11.4
ISR,NEET,15_29,PC_AGE,A,2022,13.3
LVA,NEET,15_29,PC_AGE,A,2022,11.9
SVN,NEET,15_29,PC_AGE,A,2022,10.2
OAVG,NEET,15_29,PC_AGE,A,2022,12.6
LTU,NEET,15_29,PC_AGE,A,2022,12.2
ZAF,NEET,15_29,PC_AGE,A,2022,42.1
CRI,NEET,15_29,PC_AGE,A,2022,21.2
BGR,NEET,15_29,PC_AGE,A,2022,16.4
ROU,NEET,15_29,PC_AGE,A,2022,20.0
