Country,country_code,sex,age,series,frequency,time,powercode,Number of people (thousands)
United States,USA,Men,15 to 24,Employment,Annual,2022,Thousands,9826.0
Mexico,MEX,Men,15 to 24,Employment,Annual,2022,Thousands,5767.8
Türkiye,TUR,Men,15 to 24,Employment,Annual,2022,Thousands,2881.0
Japan,JPN,Men,15 to 24,Employment,Annual,2022,Thousands,2730.0
Germany,DEU,Men,15 to 24,Employment,Annual,2022,Thousands,2266.5
United Kingdom,GBR,Men,15 to 24,Employment,Annual,2022,Thousands,1827.8
Colombia,COL,Men,15 to 24,Employment,Annual,2022,Thousands,1753.7
France,FRA,Men,15 to 24,Employment,Annual,2022,Thousands,1445.3
Canada,CAN,Men,15 to 24,Employment,Annual,2022,Thousands,1320.6
Australia,AUS,Men,15 to 24,Employment,Annual,2022,Thousands,1047.6
Netherlands,NLD,Men,15 to 24,Employment,Annual,2022,Thousands,825.7
Italy,ITA,Men,15 to 24,Employment,Annual,2022,Thousands,700.1
Spain,ESP,Men,15 to 24,Employment,Annual,2022,Thousands,626.3
Korea,KOR,Men,15 to 24,Employment,Annual,2022,Thousands,583.2
Poland,POL,Men,15 to 24,Employment,Annual,2022,Thousands,554.0
Chile,CHL,Men,15 to 24,Employment,Annual,2022,Thousands,365.2
Israel,ISR,Men,15 to 24,Employment,Annual,2022,Thousands,300.1
Switzerland,CHE,Men,15 to 24,Employment,Annual,2022,Thousands,279.3
Sweden,SWE,Men,15 to 24,Employment,Annual,2022,Thousands,277.4
