country_code,country,measure,sex,age,frequency,time_period,value,units
SWE,Sweden,Inactivity rate,Total,15 years or over,Annual,2022,33.0,Units
AUT,Austria,Inactivity rate,Total,15 years or over,Annual,2022,38.4,Units
DNK,Denmark,Inactivity rate,Total,15 years or over,Annual,2022,36.6,Units
GBR,United Kingdom,Inactivity rate,Total,15 years or over,Annual,2022,37.0,Units
SVN,Slovenia,Inactivity rate,Total,15 years or over,Annual,2022,41.0,Units
CAN,Canada,Inactivity rate,Total,15 years or over,Annual,2022,34.6,Units
FRA,France,Inactivity rate,Total,15 years or over,Annual,2022,43.8,Units
POL,Poland,Inactivity rate,Total,15 years or over,Annual,2022,42.6,Units
CRI,Costa Rica,Inactivity rate,Total,15 years or over,Annual,2022,40.2,Units
LUX,Luxembourg,Inactivity rate,Total,15 years or over,Annual,2022,38.4,Units
SVK,Slovak Republic,Inactivity rate,Total,15 years or over,Annual,2022,38.4,Units
TUR,Türkiye,Inactivity rate,Total,15 years or over,Annual,2022,47.0,Units
JPN,Japan,Inactivity rate,Total,15 years or over,Annual,2022,37.4,Units
ITA,Italy,Inactivity rate,Total,15 years or over,Annual,2022,50.9,Units
GRC,Greece,Inactivity rate,Total,15 years or over,Annual,2022,47.8,Units
PRT,Portugal,Inactivity rate,Total,15 years or over,Annual,2022,41.6,Units
MEX,Mexico,Inactivity rate,Total,15 years or over,Annual,2022,40.2,Units
OECD,OECD,Inactivity rate,Total,15 years or over,Annual,2022,39.4,Units
LTU,Lithuania,Inactivity rate,Total,15 years or over,Annual,2022,37.1,Units
EA20,Euro area (20 countries),Inactivity rate,Total,15 years or over,Annual,2022,42.5,Units
NOR,Norway,Inactivity rate,Total,15 years or over,Annual,2022,33.9,Units
NLD,Netherlands,Inactivity rate,Total,15 years or over,Annual,2022,32.1,Units
DEU,Germany,Inactivity rate,Total,15 years or over,Annual,2022,38.7,Units
BEL,Belgium,Inactivity rate,Total,15 years or over,Annual,2022,44.9,Units
CHE,Switzerland,Inactivity rate,Total,15 years or over,Annual,2022,33.4,Units
CZE,Czechia,Inactivity rate,Total,15 years or over,Annual,2022,40.1,Units
HUN,Hungary,Inactivity rate,Total,15 years or over,Annual,2022,39.6,Units
AUS,Australia,Inactivity rate,Total,15 years or over,Annual,2022,33.6,Units
ISR,Israel,Inactivity rate,Total,15 years or over,Annual,2022,36.7,Units
KOR,Korea,Inactivity rate,Total,15 years or over,Annual,2022,36.1,Units
EST,Estonia,Inactivity rate,Total,15 years or over,Annual,2022,34.4,Units
CHL,Chile,Inactivity rate,Total,15 years or over,Annual,2022,40.2,Units
COL,Colombia,Inactivity rate,Total,15 years or over,Annual,2022,36.4,Units
ISL,Iceland,Inactivity rate,Total,15 years or over,Annual,2022,25.4,Units
EU27_2020,European Union (27 countries from 01/02/2020),Inactivity rate,Total,15 years or over,Annual,2022,42.4,Units
USA,United States,Inactivity rate,Total,15 years or over,Annual,2022,37.8,Units
IRL,Ireland,Inactivity rate,Total,15 years or over,Annual,2022,35.2,Units
LVA,Latvia,Inactivity rate,Total,15 years or over,Annual,2022,38.8,Units
NZL,New Zealand,Inactivity rate,Total,15 years or over,Annual,2022,28.7,Units
FIN,Finland,Inactivity rate,Total,15 years or over,Annual,2022,38.9,Units
ESP,Spain,Inactivity rate,Total,15 years or over,Annual,2022,42.1,Units
