country_code,country,measure,sex,age,frequency,time_period,value,units
CZE,Czechia,Unemployment rate,Female,15 years or over,Annual,2022,2.8,Units
ISR,Israel,Unemployment rate,Female,15 years or over,Annual,2022,3.6,Units
ESP,Spain,Unemployment rate,Female,15 years or over,Annual,2022,14.8,Units
DEU,Germany,Unemployment rate,Female,15 years or over,Annual,2022,2.9,Units
BEL,Belgium,Unemployment rate,Female,15 years or over,Annual,2022,5.3,Units
LTU,Lithuania,Unemployment rate,Female,15 years or over,Annual,2022,5.5,Units
EA20,Euro area (20 countries),Unemployment rate,Female,15 years or over,Annual,2022,7.2,Units
OECD,OECD,Unemployment rate,Female,15 years or over,Annual,2022,5.3,Units
AUS,Australia,Unemployment rate,Female,15 years or over,Annual,2022,3.7,Units
COL,Colombia,Unemployment rate,Female,15 years or over,Annual,2022,14.3,Units
JPN,Japan,Unemployment rate,Female,15 years or over,Annual,2022,2.4,Units
HUN,Hungary,Unemployment rate,Female,15 years or over,Annual,2022,3.5,Units
KOR,Korea,Unemployment rate,Female,15 years or over,Annual,2022,3.1,Units
EST,Estonia,Unemployment rate,Female,15 years or over,Annual,2022,5.1,Units
FIN,Finland,Unemployment rate,Female,15 years or over,Annual,2022,6.4,Units
LVA,Latvia,Unemployment rate,Female,15 years or over,Annual,2022,5.5,Units
SVN,Slovenia,Unemployment rate,Female,15 years or over,Annual,2022,4.3,Units
ISL,Iceland,Unemployment rate,Female,15 years or over,Annual,2022,3.4,Units
NZL,New Zealand,Unemployment rate,Female,15 years or over,Annual,2022,3.6,Units
USA,United States,Unemployment rate,Female,15 years or over,Annual,2022,3.6,Units
CHL,Chile,Unemployment rate,Female,15 years or over,Annual,2022,8.5,Units
POL,Poland,Unemployment rate,Female,15 years or over,Annual,2022,2.9,Units
ZAF,South Africa,Unemployment rate,Female,15 years or over,Annual,2022,35.6,Units
FRA,France,Unemployment rate,Female,15 years or over,Annual,2022,7.1,Units
GRC,Greece,Unemployment rate,Female,15 years or over,Annual,2022,16.4,Units
CAN,Canada,Unemployment rate,Female,15 years or over,Annual,2022,5.1,Units
IRL,Ireland,Unemployment rate,Female,15 years or over,Annual,2022,4.6,Units
GBR,United Kingdom,Unemployment rate,Female,15 years or over,Annual,2022,3.6,Units
NLD,Netherlands,Unemployment rate,Female,15 years or over,Annual,2022,3.8,Units
SWE,Sweden,Unemployment rate,Female,15 years or over,Annual,2022,7.9,Units
EU27_2020,European Union (27 countries from 01/02/2020),Unemployment rate,Female,15 years or over,Annual,2022,6.5,Units
DNK,Denmark,Unemployment rate,Female,15 years or over,Annual,2022,4.5,Units
NOR,Norway,Unemployment rate,Female,15 years or over,Annual,2022,3.1,Units
SVK,Slovak Republic,Unemployment rate,Female,15 years or over,Annual,2022,6.4,Units
MEX,Mexico,Unemployment rate,Female,15 years or over,Annual,2022,3.3,Units
TUR,Türkiye,Unemployment rate,Female,15 years or over,Annual,2022,13.5,Units
CRI,Costa Rica,Unemployment rate,Female,15 years or over,Annual,2022,16.4,Units
LUX,Luxembourg,Unemployment rate,Female,15 years or over,Annual,2022,4.7,Units
AUT,Austria,Unemployment rate,Female,15 years or over,Annual,2022,4.5,Units
CHE,Switzerland,Unemployment rate,Female,15 years or over,Annual,2022,4.6,Units
PRT,Portugal,Unemployment rate,Female,15 years or over,Annual,2022,6.6,Units
ITA,Italy,Unemployment rate,Female,15 years or over,Annual,2022,9.4,Units
