country_code,country,measure,sex,age,frequency,time_period,value,units
ITA,Italy,Employment rate,Male,15 years or over,Annual,2022,54.0,Units
CAN,Canada,Employment rate,Male,15 years or over,Annual,2022,65.7,Units
GRC,Greece,Employment rate,Male,15 years or over,Annual,2022,54.8,Units
G7,G7,Employment rate,Male,15 years or over,Annual,2022,64.2,Units
POL,Poland,Employment rate,Male,15 years or over,Annual,2022,63.6,Units
KOR,Korea,Employment rate,Male,15 years or over,Annual,2022,71.5,Units
AUT,Austria,Employment rate,Male,15 years or over,Annual,2022,63.6,Units
ISL,Iceland,Employment rate,Male,15 years or over,Annual,2022,75.0,Units
NZL,New Zealand,Employment rate,Male,15 years or over,Annual,2022,73.6,Units
LVA,Latvia,Employment rate,Male,15 years or over,Annual,2022,62.4,Units
CRI,Costa Rica,Employment rate,Male,15 years or over,Annual,2022,64.6,Units
ESP,Spain,Employment rate,Male,15 years or over,Annual,2022,55.8,Units
FIN,Finland,Employment rate,Male,15 years or over,Annual,2022,59.6,Units
LTU,Lithuania,Employment rate,Male,15 years or over,Annual,2022,63.4,Units
NOR,Norway,Employment rate,Male,15 years or over,Annual,2022,67.2,Units
EU27_2020,European Union (27 countries from 01/02/2020),Employment rate,Male,15 years or over,Annual,2022,60.0,Units
PRT,Portugal,Employment rate,Male,15 years or over,Annual,2022,59.4,Units
CHE,Switzerland,Employment rate,Male,15 years or over,Annual,2022,69.0,Units
MEX,Mexico,Employment rate,Male,15 years or over,Annual,2022,73.8,Units
IRL,Ireland,Employment rate,Male,15 years or over,Annual,2022,67.4,Units
OECD,OECD,Employment rate,Male,15 years or over,Annual,2022,65.3,Units
COL,Colombia,Employment rate,Male,15 years or over,Annual,2022,69.6,Units
SWE,Sweden,Employment rate,Male,15 years or over,Annual,2022,65.5,Units
HUN,Hungary,Employment rate,Male,15 years or over,Annual,2022,65.2,Units
FRA,France,Employment rate,Male,15 years or over,Annual,2022,55.7,Units
AUS,Australia,Employment rate,Male,15 years or over,Annual,2022,68.0,Units
CZE,Czechia,Employment rate,Male,15 years or over,Annual,2022,66.7,Units
DEU,Germany,Employment rate,Male,15 years or over,Annual,2022,64.4,Units
ISR,Israel,Employment rate,Male,15 years or over,Annual,2022,64.0,Units
EST,Estonia,Employment rate,Male,15 years or over,Annual,2022,67.0,Units
CHL,Chile,Employment rate,Male,15 years or over,Annual,2022,65.0,Units
USA,United States,Employment rate,Male,15 years or over,Annual,2022,65.5,Units
GBR,United Kingdom,Employment rate,Male,15 years or over,Annual,2022,64.6,Units
SVN,Slovenia,Employment rate,Male,15 years or over,Annual,2022,61.2,Units
EA20,Euro area (20 countries),Employment rate,Male,15 years or over,Annual,2022,59.1,Units
TUR,Türkiye,Employment rate,Male,15 years or over,Annual,2022,65.0,Units
LUX,Luxembourg,Employment rate,Male,15 years or over,Annual,2022,62.2,Units
SVK,Slovak Republic,Employment rate,Male,15 years or over,Annual,2022,63.2,Units
JPN,Japan,Employment rate,Male,15 years or over,Annual,2022,69.5,Units
DNK,Denmark,Employment rate,Male,15 years or over,Annual,2022,64.4,Units
NLD,Netherlands,Employment rate,Male,15 years or over,Annual,2022,70.0,Units
BEL,Belgium,Employment rate,Male,15 years or over,Annual,2022,56.0,Units
