quarter_index,quarter_start,people_age_16_to_24_neet_total_sa,people_age_16_to_24_neet_unemployed_sa,people_age_16_to_24_neet_economically_inactive_sa,people_age_16_to_24_population,people_age_16_to_24_neet_total_rate_sa,people_age_16_to_24_neet_unemployed_rate_sa,people_age_16_to_24_neet_economically_inactive_rate_sa,men_age_16_to_24_neet_total_sa,men_age_16_to_24_neet_unemployed_sa,men_age_16_to_24_neet_economically_inactive_sa,men_age_16_to_24_population,men_age_16_to_24_neet_total_rate_sa,men_age_16_to_24_neet_unemployed_rate_sa,men_age_16_to_24_neet_economically_inactive_rate_sa,women_age_16_to_24_neet_total_sa,women_age_16_to_24_neet_unemployed_sa,women_age_16_to_24_neet_economically_inactive_sa,women_age_16_to_24_population,women_age_16_to_24_neet_total_rate_sa,women_age_16_to_24_neet_unemployed_rate_sa,women_age_16_to_24_neet_economically_inactive_rate_sa,quarter_label,quarter_axis_label
36,2010-10-01,1163879.7626515497,590502.114385718,573377.6482658318,7337115.0,15.862907459560734,8.048151274522999,7.81475618503774,535234.5667902767,355191.1545067564,180043.4122835202,3691743.0,14.498153495253508,9.621231881708894,4.87692161354461,628645.1958612732,235310.9598789616,393334.23598231154,3645372.0,17.245021793695493,6.455060275850082,10.78996151784541,Oct-Dec 2010,Oct-Dec\n2010
37,2011-01-01,1124517.8835909052,578476.9962360141,546040.8873548912,7352408.0,15.294552255409457,7.867857662904644,7.426694592504813,527784.5721358304,357748.7953891131,170035.77674671734,3702564.0,14.254569863905942,9.6621907248359,4.592379139070043,596733.3114550748,220728.200846901,376005.1106081738,3649844.0,16.34955662365501,6.047606441450675,10.301950182204331,Jan-Mar 2011,Jan-Mar\n2011
38,2011-04-01,1164300.1728790677,613917.882269536,550382.2906095316,7367789.0,15.80257215399447,8.332457434238902,7.470114719755568,535789.5793816198,376749.7079538909,159039.87142772897,3713401.0,14.428540827710764,10.145677990443016,4.282862837267749,628510.5934974477,237168.17431564516,391342.4191818026,3654388.0,17.19879206853371,6.489956028633115,10.708836039900596,Apr-Jun 2011,Apr-Jun\n2011
39,2011-07-01,1245651.7378638303,685780.3294410557,559871.4084227749,7369834.0,16.902032499834196,9.30523441153567,7.596798088298527,589056.1488767248,428362.9299286771,160693.21894804767,3717584.0,15.845133529645189,11.522616030429363,4.3225174992158255,656595.5889871058,257417.39951237853,399178.1894747272,3652250.0,17.977838017307295,7.04818672085368,10.929651296453615,Jul-Sep 2011,Jul-Sep\n2011
40,2011-10-01,1212241.2125128298,667554.7465414929,544686.465971337,7365252.0,16.458923774947955,9.063569672042354,7.395354102905603,582929.2312029961,422724.145830104,160205.08537289215,3718478.0,15.676554525883873,11.368203491592636,4.308351034291238,629311.9813098337,244830.6007113888,384481.3805984449,3646774.0,17.256676210531108,6.713621428456734,10.543054782074371,Oct-Dec 2011,Oct-Dec\n2011
41,2012-01-01,1193346.075660633,645845.0298974559,547501.0457631769,7360728.0,16.212337633731785,8.774200458126641,7.438137175605142,570182.3481668627,409081.9552020228,161100.39296483988,3719423.0,15.329860254315324,10.998532707950206,4.331327546365118,623163.7274937702,236763.07469543317,386400.652798337,3641305.0,17.113747063038392,6.50214894647477,10.611598116563622,Jan-Mar 2012,Jan-Mar\n2012
42,2012-04-01,1191845.466190271,642064.7234416171,549780.7427486541,7356080.0,16.202181952755694,8.728354278931402,7.473827673824293,570851.3227690933,408945.69501276215,161905.62775633117,3720169.0,15.34476855135058,10.992664446501278,4.3521041048493005,620994.1434211779,233119.02842885492,387875.1149923229,3635911.0,17.079464910477125,6.411571362138813,10.66789354833831,Apr-Jun 2012,Apr-Jun\n2012
43,2012-07-01,1103730.562232444,571310.6872708399,532419.8749616041,7347698.0,15.021447019630422,7.775369745338471,7.24607727429195,517643.1070099977,355008.12462478096,162634.98238521675,3718114.0,13.922195688728149,9.548069925364874,4.374125763363273,586087.4552224465,216302.56264605903,369784.8925763874,3629584.0,16.147510437076164,5.9594312363637,10.188079200712462,Jul-Sep 2012,Jul-Sep\n2012
44,2012-10-01,1083851.2107832427,571199.7663653239,512651.4444179187,7337377.0,14.771644019153475,7.78479511636548,6.986848902787994,504879.1853579408,349354.45087917306,155524.73447876773,3714716.0,13.591326641335186,9.404607266858976,4.186719374476211,578972.0254253017,221845.3154861508,357126.7099391509,3622661.0,15.981954298933898,6.123822115460176,9.85813218347372,Oct-Dec 2012,Oct-Dec\n2012
45,2013-01-01,1100310.119311739,586344.4437326073,513965.67557913176,7327031.0,15.017134761839262,8.002483457932788,7.0146513039064775,503618.94988237234,351786.8116740296,151832.13820834272,3711228.0,13.570143086934362,9.47898678480626,4.091156302128102,596691.1694293667,234557.63205857767,362133.537370789,3615803.0,16.502314131310992,6.487013591685656,10.015300539625336,Jan-Mar 2013,Jan-Mar\n2013
46,2013-04-01,1089153.852496795,586386.5276033593,502767.3248934353,7316616.0,14.886032730114504,8.014449953412333,6.87158277670217,502996.8850423047,356474.5254398956,146522.35960240912,3707716.0,13.56621933940746,9.61439671862396,3.9518226207834983,586156.9674544899,229912.0021634637,356244.96529102616,3608900.0,16.241984190597964,6.370694731454563,9.8712894591434,Apr-Jun 2013,Apr-Jun\n2013
47,2013-07-01,1092152.303589186,603459.9528251608,488692.3507640252,7308619.0,14.943347075407624,8.256825986211085,6.686521089196538,516506.7907649107,365250.45716473006,151256.33360018063,3705551.0,13.938731129727014,9.856846044346174,4.081885085380842,575645.5128242753,238209.49566043072,337436.01716384455,3603068.0,15.976537573653212,6.611296141522467,9.365241432130745,Jul-Sep 2013,Jul-Sep\n2013
48,2013-10-01,1037979.9293089196,570679.8965381958,467300.0327707238,7301949.0,14.215107902135712,7.8154462122126,6.3996616899231125,503398.3042124311,356120.5097604435,147277.79445198755,3704175.0,13.590024883069267,9.614030378166351,3.9759945049029146,534581.6250964885,214559.38677775225,320022.23831873626,3597774.0,14.858677201416445,5.963670502309268,8.895006699107178,Oct-Dec 2013,Oct-Dec\n2013
49,2014-01-01,978703.4961512282,507119.09716585214,471584.398985376,7295259.0,13.415610003033866,6.951351517003744,6.464258486030119,458879.2000240982,318598.114884364,140281.0851397342,3702742.0,12.392956355697972,8.604383316049674,3.7885730396482975,519824.2961271299,188520.98228148813,331303.3138456418,3592517.0,14.469640536902956,5.247601675412757,9.222038861490198,Jan-Mar 2014,Jan-Mar\n2014
50,2014-04-01,963166.5778364016,455018.8431386733,508147.7346977282,7288502.0,13.214877046564595,6.24296793962152,6.971909106943075,450818.6757679917,285747.2375425702,165071.43822542147,3701249.0,12.180176901580836,7.720292191705293,4.459884709875544,512347.9020684098,169271.6055961031,343076.2964723067,3587253.0,14.282457971835546,4.718697164546327,9.56376080728922,Apr-Jun 2014,Apr-Jun\n2014
51,2014-07-01,967314.4344501024,458488.51082699327,508825.92362310895,7281837.0,13.28393418377948,6.296330319217434,6.987603864562046,447973.0616275816,283785.6136420835,164187.44798549812,3699129.0,12.110230857793324,7.671687406470104,4.43854345132322,519341.3728225206,174702.8971849098,344638.4756376108,3582708.0,14.495777295345324,4.876280656556711,9.619496638788616,Jul-Sep 2014,Jul-Sep\n2014
52,2014-10-01,971150.283145932,458575.4162626463,512574.8668832856,7275374.0,13.348458555476764,6.303118111352712,7.04534044412405,420015.1959939402,272534.9862014859,147480.20979245426,3696707.0,11.36187412185873,7.37237184882345,3.989502273035279,551135.0871519918,186040.43006116044,365094.6570908314,3578667.0,15.400569182659124,5.198595735818964,10.20197344684016,Oct-Dec 2014,Oct-Dec\n2014
53,2015-01-01,934109.2976012704,429087.2291032848,505022.0684979855,7268728.0,12.851069645215372,5.903195567412687,6.947874077802683,419314.3245678646,256729.53514521645,162584.78942264814,3694248.0,11.350464954379474,6.949439646315474,4.401025308064,514794.9730334057,172357.69395806838,342437.27907533734,3574480.0,14.401954215253848,4.821895603222521,9.580058612031326,Jan-Mar 2015,Jan-Mar\n2015
54,2015-04-01,919090.058384264,420989.6559165528,498100.4024677113,7262244.0,12.655730906098226,5.796963802325463,6.858767103772763,422311.4865489974,258217.5265801356,164093.95996886183,3691812.0,11.439138465040944,6.994330333725975,4.44480813131497,496778.5718352666,162772.1293364172,334006.4424988494,3570432.0,13.913682485348176,4.558891734569295,9.35479075077888,Apr-Jun 2015,Apr-Jun\n2015
55,2015-07-01,855653.4066560015,379494.2097061967,476159.1969498047,7248334.0,11.804828622080626,5.235605998650127,6.569222623430497,396033.4969769479,229492.9511484091,166540.54582853877,3686588.0,10.742548312340514,6.225077257030325,4.517471055310188,459619.9096790535,150001.25855778757,309618.65112126595,3561746.0,12.904342692574192,4.2114529940593055,8.692889698514884,Jul-Sep 2015,Jul-Sep\n2015
56,2015-10-01,858075.3430896983,363791.8986432329,494283.4444464655,7230564.0,11.867336256061051,5.031307359194011,6.836028896867043,395765.9571698572,218990.11427532847,176775.84289452864,3679844.0,10.754965622723605,5.95107059634399,4.803895026379614,462309.3859198413,144801.78436790436,317507.6015519369,3550720.0,13.020158895092862,4.078096396446478,8.942062498646385,Oct-Dec 2015,Oct-Dec\n2015
57,2016-01-01,865711.4456267256,381668.8573133824,484042.5883133432,7212935.0,12.002207778480264,5.291450114459403,6.710757664020862,407180.92853541294,221570.7082662509,185610.22026916203,3673140.0,11.085363708854356,6.032187944544747,5.053175764309611,458530.5170913126,160098.14904713148,298432.36804418114,3539795.0,12.953589603107316,4.522808497303699,8.430781105803616,Jan-Mar 2016,Jan-Mar\n2016
58,2016-04-01,844281.8930790105,383279.4949182437,461002.39816076687,7195122.0,11.734087247985656,5.326935316986199,6.40715193099946,410367.5428548128,227139.95663729272,183227.5862175201,3666411.0,11.192622508900744,6.195158061583732,4.99746444731701,433914.3502241978,156139.538280951,277774.8119432468,3528711.0,12.29668142911669,4.424832135047359,7.87184929406933,Apr-Jun 2016,Apr-Jun\n2016
59,2016-07-01,860250.2587592336,372870.45139845886,487379.8073607748,7172012.0,11.9945457252335,5.198965804832157,6.795579920401343,432124.512225375,230037.0712995644,202087.4409258106,3656328.0,11.818537949149391,6.291477988286728,5.527059960862664,428125.74653385865,142833.38009889447,285292.3664349642,3515684.0,12.177594645419177,4.062747963096071,8.114846682323105,Jul-Sep 2016,Jul-Sep\n2016
60,2016-10-01,822394.9818364677,338659.81711144524,483735.1647250225,7146037.0,11.508406433334557,4.73912767470201,6.769278758632547,417645.6033664129,220520.32919103265,197125.2741753803,3644447.0,11.45977986142789,6.050858448237349,5.408921413190542,404749.3784700548,118139.48792041262,286609.8905496421,3501590.0,11.559016860056568,3.373881234536671,8.185135625519898,Oct-Dec 2016,Oct-Dec\n2016
61,2017-01-01,794990.1047404358,327464.17925561225,467525.9254848236,7120141.0,11.16537024674702,4.599124922604935,6.566245324142087,393420.69987477927,207288.1681552908,186132.5317194885,3632598.0,10.83028454771982,5.706333818255991,5.12395072946383,401569.4048656566,120176.01110032148,281393.3937653351,3487543.0,11.514392936966129,3.445864641678152,8.068528295287974,Jan-Mar 2017,Jan-Mar\n2017
62,2017-04-01,791328.6677583039,324044.4227024433,467284.24505586055,7094291.0,11.154443308828238,4.567678753274194,6.586764555554043,388848.3811848268,197286.3804131542,191562.00077167255,3620743.0,10.739463728434378,5.4487816565040434,5.290682071930335,402480.2865734771,126758.04228928912,275722.244284188,3473548.0,11.587008055552335,3.6492382511855057,7.937769804366831,Apr-Jun 2017,Apr-Jun\n2017
63,2017-07-01,795720.5244167726,304525.7334811312,491194.7909356415,7070157.0,11.254637265010842,4.3071990265722695,6.947438238438573,421956.35589052265,190815.38890011463,231140.966990408,3609521.0,11.690092837540568,5.28644628747456,6.403646550066007,373764.16852625,113710.34458101656,260053.82394523345,3460636.0,10.800447331827154,3.2858221604646243,7.514625171362531,Jul-Sep 2017,Jul-Sep\n2017
64,2017-10-01,793289.7029682962,324994.113758634,468295.5892096622,7047173.0,11.256850129382324,4.611694842153499,6.6451552872288255,409672.93247661146,193561.94308182225,216110.9893947892,3598723.0,11.383841781560056,5.378628560237123,6.005213221322931,383616.7704916848,131432.1706768118,252184.599814873,3448450.0,11.124324565868282,3.811340476933457,7.312984088934826,Oct-Dec 2017,Oct-Dec\n2017
