Title,Value,Note,Suffix
Latest NEET Rate,13.2,Percentage of young people aged 16-24 who are NEET as at Jul-Sep 2024 (seasonally adjusted),%
Latest NEET Rate - Men,15.1,Percentage of young men aged 16-24 who are NEET as at Jul-Sep 2024 (seasonally adjusted),%
Latest NEET Rate - Women,11.2,Percentage of young women aged 16-24 who are NEET as at Jul-Sep 2024 (seasonally adjusted),%
