quarter_start,people_age_16_to_24_neet_total_sa,people_age_16_to_24_neet_unemployed_sa,people_age_16_to_24_neet_economically_inactive_sa,people_age_16_to_24_popupation,people_age_16_to_24_neet_total_rate_sa,men_age_16_to_24_neet_total_sa,men_age_16_to_24_neet_unemployed_sa,men_age_16_to_24_neet_economically_inactive_sa,men_age_16_to_24_popupation,men_age_16_to_24_neet_total_rate_sa,women_age_16_to_24_neet_total_sa,women_age_16_to_24_neet_unemployed_sa,women_age_16_to_24_neet_economically_inactive_sa,women_age_16_to_24_popupation,women_age_16_to_24_neet_total_rate_sa
2020-01-01,773870.5122285518,319511.3139698459,454359.1982587059,6873352.0,11.258997243681856,405546.2623580374,200503.5134925845,205042.7488654529,3511837.0,11.547980796319345,368324.24987051444,119007.80047726142,249316.44939325302,3361515.0,10.957090772182019
2020-04-01,790989.796593196,304136.03715969005,486853.759433506,6852443.0,11.543179514126509,415982.4317674215,186044.44698119356,229937.98478622793,3501048.0,11.881654629340172,375007.36482577457,118091.59017849651,256915.77464727807,3351395.0,11.189590150542521
2020-07-01,772881.6677056467,348316.3402364934,424565.3274691534,6849739.0,11.28337397535361,431522.20333546994,235270.1608124983,196252.04252297163,3499193.0,12.33204922779252,341359.46437017684,113046.17942399508,228313.28494618175,3350546.0,10.188174236980386
2020-10-01,797760.9292384482,354087.9448012371,443672.9844372111,6832734.0,11.675574217267174,456661.13716833916,229655.17928005563,227005.95788828353,3489920.0,13.085146283248303,341099.79207010905,124432.76552118149,216667.0265489276,3342814.0,10.20397162600459
2021-01-01,723528.8042030449,317945.6699641783,405583.1342388665,6816163.0,10.61489879574542,412077.1747449413,198266.38680839227,213810.78793654905,3480821.0,11.838505190153164,311451.62945810345,119679.283155786,191772.34630231746,3335342.0,9.337921852035066
2021-04-01,644356.8433293989,279471.9522966931,364884.89103270584,6805141.0,9.468677332760613,347350.4275642031,169457.43099834915,177892.99656585394,3474560.0,9.996961559570222,297006.41576519585,110014.52129834393,186991.8944668519,3330581.0,8.917555698696289
2021-07-01,708463.1804992002,270262.49926281045,438200.6812363898,6815111.0,10.395475297455906,379353.5185067369,164136.28885810816,215217.22964862874,3479480.0,10.902592298468072,329109.66199246334,106126.21040470227,222983.45158776105,3335631.0,9.866488888982724
2021-10-01,693649.3928072673,256495.57510895148,437153.8176983158,6813325.0,10.180776534324536,394684.6562052611,157477.23553533026,237207.42066993087,3478605.0,11.346061314959908,298964.73660200613,99018.33957362123,199946.3970283849,3334720.0,8.965212569631218
2022-01-01,707249.3289750393,246973.92854353026,460275.4004315091,6816697.0,10.375249610992528,387513.10471096565,169359.86517050044,218153.23954046523,3480291.0,11.134502968601351,319736.22426407365,77614.06337302981,242122.16089104384,3336406.0,9.583252885412437
2022-04-01,711429.2176361557,238658.23334559973,472770.98429055593,6823520.0,10.426132225539833,384742.40088065783,167317.70440900553,217424.6964716523,3483765.0,11.043867794775418,326686.8167554978,71340.5289365942,255346.28781890363,3339755.0,9.781759942136409
2022-07-01,723689.0739914065,233616.98157853383,490072.0924128727,6840016.0,10.58022487069338,383193.1829599809,154954.00401485825,228239.1789451227,3492186.0,10.97287438183364,340495.89103142556,78662.97756367557,261832.91346775,3347830.0,10.170644597587858
2022-10-01,788083.054131716,298622.9420771216,489460.11205459444,6837737.0,11.525495264467118,415660.77760301065,188053.72348289622,227607.05412011442,3491014.0,11.906591540538383,372422.2765287054,110569.21859422536,261853.05793448002,3346723.0,11.127968359756855
