quarter_index,lms_period,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_total_sa,quarter_label
0,1992-05-01,3742.0,697.0,777.0,80.0,736.0,1107.0,71.2,37.0,17.2,10.4,14.0,58.8,1884.0,5256.0,Apr-Jun 1992
1,1992-08-01,3627.0,722.0,760.0,110.0,667.0,1191.0,71.8,35.7,17.3,13.2,13.2,58.8,2023.0,5053.0,Jul-Sep 1992
2,1992-11-01,3611.0,659.0,801.0,93.0,689.0,1161.0,70.8,34.4,18.1,12.3,13.5,60.7,1913.0,5101.0,Oct-Dec 1992
3,1993-02-01,3547.0,643.0,824.0,100.0,682.0,1154.0,70.2,33.9,18.9,13.5,13.5,60.8,1897.0,5054.0,Jan-Mar 1993
4,1993-05-01,3500.0,627.0,803.0,100.0,700.0,1157.0,70.0,33.3,18.7,13.7,14.0,61.4,1884.0,5004.0,Apr-Jun 1993
5,1993-08-01,3391.0,698.0,758.0,117.0,683.0,1182.0,70.2,34.9,18.3,14.4,14.1,59.2,1997.0,4831.0,Jul-Sep 1993
6,1993-11-01,3337.0,704.0,762.0,116.0,681.0,1171.0,69.8,35.4,18.6,14.2,14.2,58.8,1991.0,4780.0,Oct-Dec 1993
7,1994-02-01,3326.0,705.0,714.0,112.0,673.0,1184.0,70.6,35.3,17.7,13.7,14.3,59.2,2001.0,4713.0,Jan-Mar 1994
8,1994-05-01,3256.0,729.0,689.0,123.0,649.0,1211.0,70.9,35.3,17.5,14.4,14.1,58.7,2063.0,4593.0,Apr-Jun 1994
9,1994-08-01,3248.0,709.0,678.0,126.0,679.0,1175.0,70.5,35.3,17.3,15.1,14.7,58.5,2010.0,4605.0,Jul-Sep 1994
10,1994-11-01,3211.0,717.0,629.0,126.0,664.0,1235.0,71.3,34.5,16.4,14.9,14.7,59.4,2078.0,4503.0,Oct-Dec 1994
11,1995-02-01,3178.0,732.0,617.0,137.0,648.0,1235.0,71.5,34.8,16.3,15.7,14.6,58.7,2104.0,4444.0,Jan-Mar 1995
12,1995-05-01,3131.0,787.0,601.0,138.0,625.0,1232.0,71.9,36.5,16.1,15.0,14.3,57.1,2157.0,4357.0,Apr-Jun 1995
13,1995-08-01,3184.0,786.0,610.0,120.0,624.0,1159.0,72.1,38.0,16.1,13.3,14.1,56.1,2065.0,4418.0,Jul-Sep 1995
14,1995-11-01,3128.0,836.0,573.0,133.0,646.0,1138.0,72.0,39.7,15.5,13.7,14.9,54.0,2106.0,4347.0,Oct-Dec 1995
15,1996-02-01,3069.0,868.0,581.0,129.0,630.0,1148.0,71.7,40.5,15.9,12.9,14.7,53.5,2144.0,4280.0,Jan-Mar 1996
