quarter_index,lms_period,age_16_to_17_not_in_ft_education_in_employment_sa,age_18_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_in_employment_sa,men_16_to_24_not_in_ft_education_in_employment_sa,women_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_in_ft_education_in_employment_sa,age_16_to_17_not_in_ft_education_unemployed_sa,age_18_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_unemployed_sa,men_16_to_24_not_in_ft_education_unemployed_sa,women_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_in_ft_education_unemployed_sa,age_16_to_17_not_in_ft_education_economically_inactive_sa,age_18_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,men_16_to_24_not_in_ft_education_economically_inactive_sa,women_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_in_ft_education_economically_inactive_sa,age_16_to_24_employment_rate_sa,age_16_to_17_not_in_ft_education_employment_rate_sa,age_18_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,men_16_to_24_not_in_ft_education_employment_rate_sa,women_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_in_ft_education_employment_rate_sa,age_16_to_17_not_in_ft_education_unemployment_rate_sa,age_18_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,men_16_to_24_not_in_ft_education_unemployment_rate_sa,women_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_in_ft_education_unemployment_rate_sa,age_16_to_24_economic_inactivity_rate_sa,age_16_to_17_not_in_ft_education_economic_inactivity_rate_sa,age_18_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,men_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,women_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_total_sa,age_16_to_24_in_ft_education_total_sa,age_16_to_17_not_in_ft_education_total_sa,age_18_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_total_sa,men_16_to_24_not_in_ft_education_total_sa,women_16_to_24_not_in_ft_education_total_sa,unemployment_rate_sa,economic_inactivity_rate_sa,age_16_to_24_in_employment_sa,age_16_to_24_unemployed_sa,age_16_to_24_economically_inactive_sa,age_16_to_24_unemployment_rate_sa,quarter_label,quarter_axis_label
0,2000-01-01,249.0,2765.0,3013.0,1632.0,1381.0,920.0,79.0,329.0,408.0,243.0,165.0,162.0,58.0,504.0,562.0,142.0,420.0,1193.0,62.8,64.5,76.8,75.6,80.9,70.2,40.4,24.0,10.6,11.9,13.0,10.7,15.0,28.1,15.0,14.0,14.1,7.0,21.4,52.5,6259.0,2275.0,385.0,3598.0,3984.0,2017.0,1966.0,5.9,23.3,3933.0,570.0,1756.0,12.7,Dec-Feb 2000,Dec-Feb\n2000
1,2000-04-01,246.0,2748.0,2994.0,1625.0,1369.0,946.0,85.0,337.0,422.0,255.0,167.0,157.0,61.0,496.0,557.0,151.0,406.0,1187.0,62.9,62.7,76.8,75.4,80.0,70.5,41.3,25.8,10.9,12.4,13.6,10.9,14.2,27.8,15.6,13.8,14.0,7.4,20.9,51.8,6263.0,2290.0,392.0,3581.0,3973.0,2031.0,1942.0,5.7,23.2,3940.0,579.0,1744.0,12.8,Mar-May 2000,Mar-May\n2000
2,2000-07-01,240.0,2750.0,2989.0,1627.0,1362.0,951.0,77.0,316.0,393.0,230.0,164.0,141.0,63.0,500.0,562.0,154.0,408.0,1239.0,62.8,63.1,77.1,75.8,80.9,70.4,40.8,24.4,10.3,11.6,12.4,10.7,12.9,28.7,16.5,14.0,14.3,7.7,21.1,53.1,6276.0,2331.0,379.0,3565.0,3945.0,2011.0,1934.0,5.3,23.3,3941.0,534.0,1801.0,11.9,Jun-Aug 2000,Jun-Aug\n2000
3,2000-10-01,226.0,2749.0,2976.0,1614.0,1361.0,934.0,85.0,317.0,402.0,237.0,165.0,151.0,62.0,513.0,574.0,162.0,413.0,1268.0,62.0,60.7,76.8,75.3,80.2,70.2,39.7,27.3,10.3,11.9,12.8,10.8,13.9,29.2,16.5,14.3,14.5,8.0,21.3,53.9,6305.0,2353.0,373.0,3579.0,3952.0,2013.0,1939.0,5.3,23.5,3910.0,553.0,1842.0,12.4,Sep-Nov 2000,Sep-Nov\n2000
4,2001-01-01,241.0,2735.0,2976.0,1622.0,1354.0,952.0,82.0,324.0,406.0,251.0,155.0,144.0,59.0,517.0,576.0,157.0,419.0,1280.0,62.0,63.1,76.5,75.2,79.9,70.2,40.1,25.4,10.6,12.0,13.4,10.3,13.1,29.3,15.4,14.5,14.5,7.7,21.7,53.9,6334.0,2376.0,382.0,3576.0,3958.0,2030.0,1928.0,5.2,23.3,3928.0,550.0,1856.0,12.3,Dec-Feb 2001,Dec-Feb\n2001
5,2001-04-01,257.0,2775.0,3032.0,1652.0,1380.0,940.0,80.0,312.0,392.0,239.0,152.0,129.0,69.0,506.0,576.0,158.0,418.0,1295.0,62.4,63.4,77.2,75.8,80.6,70.8,39.8,23.6,10.1,11.4,12.7,9.9,12.1,29.4,17.0,14.1,14.4,7.7,21.4,54.8,6363.0,2364.0,406.0,3593.0,3999.0,2049.0,1950.0,5.0,23.5,3972.0,521.0,1870.0,11.6,Mar-May 2001,Mar-May\n2001
6,2001-07-01,232.0,2808.0,3040.0,1662.0,1378.0,959.0,77.0,313.0,390.0,254.0,136.0,150.0,57.0,490.0,547.0,131.0,416.0,1305.0,62.6,63.3,77.8,76.4,81.2,71.4,39.7,25.0,10.0,11.4,13.3,9.0,13.6,29.0,15.6,13.6,13.8,6.4,21.6,54.1,6391.0,2414.0,366.0,3611.0,3977.0,2047.0,1930.0,5.1,23.5,3998.0,540.0,1852.0,11.9,Jun-Aug 2001,Jun-Aug\n2001
7,2001-10-01,259.0,2826.0,3085.0,1659.0,1425.0,943.0,85.0,338.0,423.0,264.0,159.0,137.0,64.0,501.0,565.0,151.0,415.0,1273.0,62.7,63.4,77.1,75.7,80.0,71.3,40.1,24.8,10.7,12.1,13.7,10.0,12.7,28.6,15.7,13.7,13.9,7.3,20.7,54.1,6426.0,2353.0,409.0,3664.0,4073.0,2074.0,1999.0,5.2,23.4,4027.0,560.0,1839.0,12.2,Sep-Nov 2001,Sep-Nov\n2001
8,2002-01-01,243.0,2835.0,3078.0,1646.0,1432.0,945.0,85.0,341.0,426.0,265.0,162.0,126.0,71.0,504.0,575.0,166.0,409.0,1311.0,62.3,61.0,77.0,75.5,79.3,71.5,39.7,25.9,10.7,12.2,13.8,10.1,11.8,29.2,17.8,13.7,14.1,8.0,20.4,55.0,6462.0,2383.0,399.0,3680.0,4079.0,2076.0,2003.0,5.2,23.6,4023.0,552.0,1886.0,12.1,Dec-Feb 2002,Dec-Feb\n2002
9,2002-04-01,230.0,2869.0,3099.0,1653.0,1446.0,954.0,84.0,335.0,420.0,265.0,155.0,138.0,71.0,518.0,589.0,168.0,421.0,1297.0,62.4,59.7,77.1,75.4,79.2,71.5,39.9,26.8,10.5,11.9,13.8,9.7,12.6,29.0,18.5,13.9,14.3,8.1,20.8,54.3,6497.0,2389.0,386.0,3723.0,4109.0,2086.0,2022.0,5.3,23.3,4053.0,558.0,1886.0,12.1,Mar-May 2002,Mar-May\n2002
