,,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ITL level,ITL code,Region name,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs,jobs

ITL3,TLC11,Hartlepool and Stockton-on-Tees,116625,118069,118103,119306,122421,120965,119294,121190,117433,118501,113183,117527,118261,120770,117722,118723,119353,120532,125266
ITL3,TLC12,South Teesside,106409,111926,115639,115819,116774,116956,111665,112066,110749,105195,109832,109615,108605,108820,106604,105506,107539,106421,104203
ITL3,TLC13,Darlington,50067,53272,50434,51388,52671,54929,54589,53597,58809,52051,54262,53374,53127,54344,53061,50182,51522,50683,54567
ITL3,TLC14,Durham CC,174966,178437,176574,175879,187564,188875,191270,185647,178972,182489,177124,185554,183418,189113,180181,187884,193430,191480,192296
ITL3,TLC21,Northumberland,115766,118165,121095,121423,124377,121791,125975,129097,125680,119667,115108,119370,115133,118633,116222,121167,120903,121737,116942
ITL3,TLC22,Tyneside,384351,387403,394021,410153,409296,408945,412240,411439,413037,409246,408908,406251,411668,423055,419484,421605,433111,423816,415961
ITL3,TLC23,Sunderland,115931,117174,121518,127073,127344,127423,128398,126165,120182,123782,124709,121697,123754,122533,121236,124765,124591,121153,125888
ITL3,TLD11,West Cumbria,90658,101021,100865,91543,99939,100423,101437,103788,101598,102809,105499,103908,105237,107685,105085,106517,109497,108813,103753
ITL3,TLD12,East Cumbria,130007,141756,145134,134461,144956,145695,146516,144648,146520,143096,149885,151452,152582,151300,152651,145621,149054,155386,156476
ITL3,TLD33,Manchester,320177,318412,324925,316630,326250,330554,331653,329089,341305,331979,341232,362062,372085,380230,398895,410941,421774,430878,436825
ITL3,TLD34,Greater Manchester South West,246187,249052,257720,250376,246598,253548,252021,252197,258989,259198,259947,263036,272899,276096,272350,283721,291853,301825,294924
ITL3,TLD35,Greater Manchester South East,204584,203970,211916,214105,208239,213662,216904,214557,207919,209606,208048,203018,209973,208247,208283,205716,220654,224743,218554
ITL3,TLD36,Greater Manchester North West,217286,224008,224870,233258,225409,223147,224003,222479,223651,217889,216613,220351,228399,226882,228565,234853,243308,246888,247253
ITL3,TLD37,Greater Manchester North East,227133,238072,242209,242539,235267,240754,235347,234364,235114,225456,229430,230842,235814,236136,242569,246637,254399,248704,242578
ITL3,TLD41,Blackburn with Darwen,65447,65268,68958,66793,64923,69418,69748,66317,65048,62128,65030,68031,69919,68860,70454,68974,74244,68697,72609
ITL3,TLD42,Blackpool,66972,60172,64932,60822,66076,64069,62994,65660,62778,61696,61308,60893,64301,63972,63065,63337,67569,69311,70389
ITL3,TLD44,Lancaster and Wyre,93531,96064,98172,98987,98677,99872,104946,103240,101764,103008,93340,98302,99852,95770,101470,99009,97799,97466,100184
