Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,1.07
Greater Manchester,E08000002,Bury,0.13
Greater Manchester,E08000003,Manchester,0.01
Greater Manchester,E08000004,Oldham,1.55
Greater Manchester,E08000005,Rochdale,1.17
Greater Manchester,E08000006,Salford,0.27
Greater Manchester,E08000007,Stockport,-0.55
Greater Manchester,E08000008,Tameside,1.04
Greater Manchester,E08000009,Trafford,-1.02
Greater Manchester,E08000010,Wigan,0.76
Liverpool City Region,E06000006,Halton,1.01
Liverpool City Region,E08000015,Wirral,-0.01
Liverpool City Region,E08000013,St. Helens,0.8
Liverpool City Region,E08000014,Sefton,0.46
Liverpool City Region,E08000011,Knowsley,1.75
Liverpool City Region,E08000012,Liverpool,0.65
North East,E08000024,Sunderland,1.16
North East,E08000037,Gateshead,0.75
North East,E06000047,County Durham,0.55
North East,E08000023,South Tyneside,0.58
West Midlands,E08000025,Birmingham,1.21
West Midlands,E08000026,Coventry,0.33
West Midlands,E08000027,Dudley,1.2
West Midlands,E08000029,Solihull,-0.09
West Midlands,E08000030,Walsall,1.94
West Midlands,E08000031,Wolverhampton,1.66
West Midlands,E08000028,Sandwell,2.42
West Yorkshire,E08000036,Wakefield,1.45
West Yorkshire,E08000032,Bradford,1.39
West Yorkshire,E08000033,Calderdale,0.26
West Yorkshire,E08000034,Kirklees,0.55
West Yorkshire,E08000035,Leeds,-0.05
