Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,10.67
Greater Manchester,E08000002,Bury,4.32
Greater Manchester,E08000003,Manchester,10.11
Greater Manchester,E08000004,Oldham,15.63
Greater Manchester,E08000005,Rochdale,18.92
Greater Manchester,E08000006,Salford,13.51
Greater Manchester,E08000007,Stockport,0.81
Greater Manchester,E08000008,Tameside,17.76
Greater Manchester,E08000009,Trafford,-10.64
Greater Manchester,E08000010,Wigan,11.24
Liverpool City Region,E06000006,Halton,21.03
Liverpool City Region,E08000015,Wirral,13.86
Liverpool City Region,E08000013,St. Helens,19.53
Liverpool City Region,E08000014,Sefton,9.35
Liverpool City Region,E08000011,Knowsley,26.75
Liverpool City Region,E08000012,Liverpool,17.52
North East,E08000024,Sunderland,21.36
North East,E08000037,Gateshead,15.28
North East,E06000047,County Durham,13.71
North East,E08000023,South Tyneside,18.74
West Midlands,E08000025,Birmingham,12.5
West Midlands,E08000026,Coventry,4.72
West Midlands,E08000027,Dudley,11.47
West Midlands,E08000029,Solihull,0.52
West Midlands,E08000030,Walsall,16.63
West Midlands,E08000031,Wolverhampton,16.0
West Midlands,E08000028,Sandwell,16.42
West Yorkshire,E08000036,Wakefield,14.65
West Yorkshire,E08000032,Bradford,17.32
West Yorkshire,E08000033,Calderdale,8.23
West Yorkshire,E08000034,Kirklees,4.18
West Yorkshire,E08000035,Leeds,0.49
