Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,-0.77
Greater Manchester,E08000002,Bury,-0.45
Greater Manchester,E08000003,Manchester,-0.45
Greater Manchester,E08000004,Oldham,0.39
Greater Manchester,E08000005,Rochdale,0.65
Greater Manchester,E08000006,Salford,1.15
Greater Manchester,E08000007,Stockport,-0.4
Greater Manchester,E08000008,Tameside,-0.34
Greater Manchester,E08000009,Trafford,-1.42
Greater Manchester,E08000010,Wigan,0.37
Liverpool City Region,E06000006,Halton,0.93
Liverpool City Region,E08000015,Wirral,1.08
Liverpool City Region,E08000013,St. Helens,1.35
Liverpool City Region,E08000014,Sefton,0.78
Liverpool City Region,E08000011,Knowsley,1.9
Liverpool City Region,E08000012,Liverpool,0.95
North East,E08000024,Sunderland,1.27
North East,E08000037,Gateshead,1.13
North East,E06000047,County Durham,0.95
North East,E08000023,South Tyneside,0.12
West Midlands,E08000025,Birmingham,0.51
West Midlands,E08000026,Coventry,0.23
West Midlands,E08000027,Dudley,0.77
West Midlands,E08000029,Solihull,0.57
West Midlands,E08000030,Walsall,0.64
West Midlands,E08000031,Wolverhampton,-0.62
West Midlands,E08000028,Sandwell,-0.01
West Yorkshire,E08000036,Wakefield,0.47
West Yorkshire,E08000032,Bradford,2.2
West Yorkshire,E08000033,Calderdale,-0.09
West Yorkshire,E08000034,Kirklees,-0.01
West Yorkshire,E08000035,Leeds,0.11
