Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,0.68
Greater Manchester,E08000002,Bury,-0.15
Greater Manchester,E08000003,Manchester,2.32
Greater Manchester,E08000004,Oldham,0.91
Greater Manchester,E08000005,Rochdale,0.86
Greater Manchester,E08000006,Salford,1.62
Greater Manchester,E08000007,Stockport,-0.42
Greater Manchester,E08000008,Tameside,0.91
Greater Manchester,E08000009,Trafford,-0.14
Greater Manchester,E08000010,Wigan,0.2
Liverpool City Region,E06000006,Halton,1.44
Liverpool City Region,E08000015,Wirral,-0.07
Liverpool City Region,E08000013,St. Helens,0.66
Liverpool City Region,E08000014,Sefton,-0.24
Liverpool City Region,E08000011,Knowsley,1.61
Liverpool City Region,E08000012,Liverpool,1.79
North East,E08000024,Sunderland,1.83
North East,E08000037,Gateshead,1.57
North East,E06000047,County Durham,0.71
North East,E08000023,South Tyneside,2.33
West Midlands,E08000025,Birmingham,1.3
West Midlands,E08000026,Coventry,0.2
West Midlands,E08000027,Dudley,0.54
West Midlands,E08000029,Solihull,-0.31
West Midlands,E08000030,Walsall,1.34
West Midlands,E08000031,Wolverhampton,1.59
West Midlands,E08000028,Sandwell,1.83
West Yorkshire,E08000036,Wakefield,1.0
West Yorkshire,E08000032,Bradford,-0.2
West Yorkshire,E08000033,Calderdale,-0.2
West Yorkshire,E08000034,Kirklees,-0.17
West Yorkshire,E08000035,Leeds,0.78
