Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,-0.09
Greater Manchester,E08000002,Bury,0.05
Greater Manchester,E08000003,Manchester,0.8
Greater Manchester,E08000004,Oldham,0.19
Greater Manchester,E08000005,Rochdale,0.58
Greater Manchester,E08000006,Salford,0.41
Greater Manchester,E08000007,Stockport,-0.22
Greater Manchester,E08000008,Tameside,1.39
Greater Manchester,E08000009,Trafford,-0.39
Greater Manchester,E08000010,Wigan,0.28
Liverpool City Region,E06000006,Halton,1.5
Liverpool City Region,E08000015,Wirral,1.11
Liverpool City Region,E08000013,St. Helens,1.33
Liverpool City Region,E08000014,Sefton,0.91
Liverpool City Region,E08000011,Knowsley,0.22
Liverpool City Region,E08000012,Liverpool,2.55
North East,E08000024,Sunderland,0.61
North East,E08000037,Gateshead,1.25
North East,E06000047,County Durham,0.53
North East,E08000023,South Tyneside,0.44
West Midlands,E08000025,Birmingham,-0.2
West Midlands,E08000026,Coventry,0.39
West Midlands,E08000027,Dudley,0.14
West Midlands,E08000029,Solihull,0.91
West Midlands,E08000030,Walsall,0.47
West Midlands,E08000031,Wolverhampton,0.11
West Midlands,E08000028,Sandwell,0.5
West Yorkshire,E08000036,Wakefield,0.22
West Yorkshire,E08000032,Bradford,0.64
West Yorkshire,E08000033,Calderdale,-0.14
West Yorkshire,E08000034,Kirklees,-0.5
West Yorkshire,E08000035,Leeds,-0.0
