Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,0.34
Greater Manchester,E08000002,Bury,0.18
Greater Manchester,E08000003,Manchester,0.34
Greater Manchester,E08000004,Oldham,-0.43
Greater Manchester,E08000005,Rochdale,1.01
Greater Manchester,E08000006,Salford,1.56
Greater Manchester,E08000007,Stockport,0.05
Greater Manchester,E08000008,Tameside,2.36
Greater Manchester,E08000009,Trafford,-0.97
Greater Manchester,E08000010,Wigan,-0.07
Liverpool City Region,E06000006,Halton,-0.57
Liverpool City Region,E08000015,Wirral,-0.46
Liverpool City Region,E08000013,St. Helens,-0.0
Liverpool City Region,E08000014,Sefton,-0.9
Liverpool City Region,E08000011,Knowsley,-0.03
Liverpool City Region,E08000012,Liverpool,0.35
North East,E08000024,Sunderland,0.37
North East,E08000037,Gateshead,0.34
North East,E06000047,County Durham,-0.12
North East,E08000023,South Tyneside,-0.73
West Midlands,E08000025,Birmingham,-0.1
West Midlands,E08000026,Coventry,0.22
West Midlands,E08000027,Dudley,-0.07
West Midlands,E08000029,Solihull,-0.18
West Midlands,E08000030,Walsall,-0.77
West Midlands,E08000031,Wolverhampton,-0.38
West Midlands,E08000028,Sandwell,-0.63
West Yorkshire,E08000036,Wakefield,1.88
West Yorkshire,E08000032,Bradford,1.04
West Yorkshire,E08000033,Calderdale,1.2
West Yorkshire,E08000034,Kirklees,0.6
West Yorkshire,E08000035,Leeds,0.48
