Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,0.46
Greater Manchester,E08000002,Bury,0.38
Greater Manchester,E08000003,Manchester,-0.63
Greater Manchester,E08000004,Oldham,0.77
Greater Manchester,E08000005,Rochdale,0.92
Greater Manchester,E08000006,Salford,-0.02
Greater Manchester,E08000007,Stockport,0.61
Greater Manchester,E08000008,Tameside,1.29
Greater Manchester,E08000009,Trafford,-0.11
Greater Manchester,E08000010,Wigan,0.89
Liverpool City Region,E06000006,Halton,2.84
Liverpool City Region,E08000015,Wirral,1.75
Liverpool City Region,E08000013,St. Helens,2.95
Liverpool City Region,E08000014,Sefton,2.22
Liverpool City Region,E08000011,Knowsley,3.7
Liverpool City Region,E08000012,Liverpool,0.51
North East,E08000024,Sunderland,1.7
North East,E08000037,Gateshead,1.4
North East,E06000047,County Durham,0.68
North East,E08000023,South Tyneside,1.84
West Midlands,E08000025,Birmingham,0.21
West Midlands,E08000026,Coventry,-0.37
West Midlands,E08000027,Dudley,0.88
West Midlands,E08000029,Solihull,0.63
West Midlands,E08000030,Walsall,1.13
West Midlands,E08000031,Wolverhampton,0.73
West Midlands,E08000028,Sandwell,0.8
West Yorkshire,E08000036,Wakefield,0.59
West Yorkshire,E08000032,Bradford,1.13
West Yorkshire,E08000033,Calderdale,0.92
West Yorkshire,E08000034,Kirklees,0.69
West Yorkshire,E08000035,Leeds,-0.74
