Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,1.12
Greater Manchester,E08000002,Bury,0.65
Greater Manchester,E08000003,Manchester,2.33
Greater Manchester,E08000004,Oldham,1.23
Greater Manchester,E08000005,Rochdale,1.4
Greater Manchester,E08000006,Salford,1.69
Greater Manchester,E08000007,Stockport,0.14
Greater Manchester,E08000008,Tameside,1.29
Greater Manchester,E08000009,Trafford,-0.21
Greater Manchester,E08000010,Wigan,1.17
Liverpool City Region,E06000006,Halton,2.1
Liverpool City Region,E08000015,Wirral,1.86
Liverpool City Region,E08000013,St. Helens,1.98
Liverpool City Region,E08000014,Sefton,1.46
Liverpool City Region,E08000011,Knowsley,3.25
Liverpool City Region,E08000012,Liverpool,3.08
North East,E08000024,Sunderland,2.21
North East,E08000037,Gateshead,1.46
North East,E06000047,County Durham,1.75
North East,E08000023,South Tyneside,1.81
West Midlands,E08000025,Birmingham,1.29
West Midlands,E08000026,Coventry,0.6
West Midlands,E08000027,Dudley,0.54
West Midlands,E08000029,Solihull,-0.21
West Midlands,E08000030,Walsall,1.17
West Midlands,E08000031,Wolverhampton,0.94
West Midlands,E08000028,Sandwell,1.46
West Yorkshire,E08000036,Wakefield,1.17
West Yorkshire,E08000032,Bradford,0.94
West Yorkshire,E08000033,Calderdale,0.42
West Yorkshire,E08000034,Kirklees,0.37
West Yorkshire,E08000035,Leeds,0.14
