local_authority_name,value
Torbay,2.4005616327250854
Bradford,2.201234633479652
Knowsley,1.9047229127735736
Plymouth,1.8417841041331344
Middlesbrough,1.840994772539622
Newcastle upon Tyne,1.7051881946877403
St. Helens,1.35030747982997
Doncaster,1.2853053307082465
Sunderland,1.2749609324564517
"Bristol, City of",1.2317277178083872
Cornwall,1.1896992724346271
Salford,1.1514790058014888
Gateshead,1.133088964464964
Portsmouth,1.125860348819132
Wirral,1.083499553300736
Dorset,1.0395185508272398
Stoke-on-Trent,1.0195359983809995
Brighton and Hove,1.0154924049545957
Rotherham,1.007612936942185
County Durham,0.9539245406607773
