Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,1.85
Greater Manchester,E08000002,Bury,0.36
Greater Manchester,E08000003,Manchester,1.84
Greater Manchester,E08000004,Oldham,2.53
Greater Manchester,E08000005,Rochdale,1.48
Greater Manchester,E08000006,Salford,0.53
Greater Manchester,E08000007,Stockport,-0.55
Greater Manchester,E08000008,Tameside,0.58
Greater Manchester,E08000009,Trafford,-0.87
Greater Manchester,E08000010,Wigan,-0.01
Liverpool City Region,E06000006,Halton,-0.03
Liverpool City Region,E08000015,Wirral,-0.23
Liverpool City Region,E08000013,St. Helens,0.03
Liverpool City Region,E08000014,Sefton,-0.26
Liverpool City Region,E08000011,Knowsley,0.3
Liverpool City Region,E08000012,Liverpool,1.06
North East,E08000024,Sunderland,1.31
North East,E08000037,Gateshead,0.94
North East,E06000047,County Durham,1.18
North East,E08000023,South Tyneside,1.41
West Midlands,E08000025,Birmingham,2.97
West Midlands,E08000026,Coventry,1.26
West Midlands,E08000027,Dudley,1.23
West Midlands,E08000029,Solihull,-0.52
West Midlands,E08000030,Walsall,2.16
West Midlands,E08000031,Wolverhampton,2.06
West Midlands,E08000028,Sandwell,2.4
West Yorkshire,E08000036,Wakefield,0.03
West Yorkshire,E08000032,Bradford,2.53
West Yorkshire,E08000033,Calderdale,0.55
West Yorkshire,E08000034,Kirklees,1.04
West Yorkshire,E08000035,Leeds,0.48
