Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,0.84
Greater Manchester,E08000002,Bury,0.42
Greater Manchester,E08000003,Manchester,-1.13
Greater Manchester,E08000004,Oldham,1.66
Greater Manchester,E08000005,Rochdale,1.29
Greater Manchester,E08000006,Salford,-0.05
Greater Manchester,E08000007,Stockport,-0.29
Greater Manchester,E08000008,Tameside,0.83
Greater Manchester,E08000009,Trafford,-0.89
Greater Manchester,E08000010,Wigan,0.8
Liverpool City Region,E06000006,Halton,1.31
Liverpool City Region,E08000015,Wirral,0.62
Liverpool City Region,E08000013,St. Helens,0.79
Liverpool City Region,E08000014,Sefton,-0.28
Liverpool City Region,E08000011,Knowsley,1.28
Liverpool City Region,E08000012,Liverpool,-1.19
North East,E08000024,Sunderland,0.69
North East,E08000037,Gateshead,0.72
North East,E06000047,County Durham,0.19
North East,E08000023,South Tyneside,1.18
West Midlands,E08000025,Birmingham,-0.25
West Midlands,E08000026,Coventry,-0.62
West Midlands,E08000027,Dudley,0.94
West Midlands,E08000029,Solihull,-0.27
West Midlands,E08000030,Walsall,1.84
West Midlands,E08000031,Wolverhampton,1.45
West Midlands,E08000028,Sandwell,1.65
West Yorkshire,E08000036,Wakefield,1.42
West Yorkshire,E08000032,Bradford,1.02
West Yorkshire,E08000033,Calderdale,0.93
West Yorkshire,E08000034,Kirklees,0.34
West Yorkshire,E08000035,Leeds,-0.96
