Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,1.04
Greater Manchester,E08000002,Bury,1.07
Greater Manchester,E08000003,Manchester,-0.03
Greater Manchester,E08000004,Oldham,-0.01
Greater Manchester,E08000005,Rochdale,2.06
Greater Manchester,E08000006,Salford,0.34
Greater Manchester,E08000007,Stockport,0.87
Greater Manchester,E08000008,Tameside,1.95
Greater Manchester,E08000009,Trafford,0.3
Greater Manchester,E08000010,Wigan,1.39
Liverpool City Region,E06000006,Halton,1.09
Liverpool City Region,E08000015,Wirral,-0.08
Liverpool City Region,E08000013,St. Helens,0.22
Liverpool City Region,E08000014,Sefton,0.01
Liverpool City Region,E08000011,Knowsley,0.36
Liverpool City Region,E08000012,Liverpool,0.61
North East,E08000024,Sunderland,0.65
North East,E08000037,Gateshead,0.37
North East,E06000047,County Durham,0.42
North East,E08000023,South Tyneside,0.32
West Midlands,E08000025,Birmingham,0.45
West Midlands,E08000026,Coventry,0.15
West Midlands,E08000027,Dudley,1.06
West Midlands,E08000029,Solihull,0.21
West Midlands,E08000030,Walsall,0.26
West Midlands,E08000031,Wolverhampton,1.48
West Midlands,E08000028,Sandwell,0.13
West Yorkshire,E08000036,Wakefield,0.29
West Yorkshire,E08000032,Bradford,-0.26
West Yorkshire,E08000033,Calderdale,1.62
West Yorkshire,E08000034,Kirklees,-0.06
West Yorkshire,E08000035,Leeds,-1.28
