Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,0.62
Greater Manchester,E08000002,Bury,-0.02
Greater Manchester,E08000003,Manchester,1.17
Greater Manchester,E08000004,Oldham,0.64
Greater Manchester,E08000005,Rochdale,1.4
Greater Manchester,E08000006,Salford,-0.25
Greater Manchester,E08000007,Stockport,0.38
Greater Manchester,E08000008,Tameside,0.68
Greater Manchester,E08000009,Trafford,-0.34
Greater Manchester,E08000010,Wigan,0.22
Liverpool City Region,E06000006,Halton,0.9
Liverpool City Region,E08000015,Wirral,0.82
Liverpool City Region,E08000013,St. Helens,0.31
Liverpool City Region,E08000014,Sefton,0.45
Liverpool City Region,E08000011,Knowsley,2.6
Liverpool City Region,E08000012,Liverpool,1.33
North East,E08000024,Sunderland,0.59
North East,E08000037,Gateshead,-0.47
North East,E06000047,County Durham,0.23
North East,E08000023,South Tyneside,1.03
West Midlands,E08000025,Birmingham,1.44
West Midlands,E08000026,Coventry,0.74
West Midlands,E08000027,Dudley,0.53
West Midlands,E08000029,Solihull,-0.02
West Midlands,E08000030,Walsall,0.22
West Midlands,E08000031,Wolverhampton,1.41
West Midlands,E08000028,Sandwell,1.1
West Yorkshire,E08000036,Wakefield,0.57
West Yorkshire,E08000032,Bradford,0.55
West Yorkshire,E08000033,Calderdale,0.34
West Yorkshire,E08000034,Kirklees,0.15
West Yorkshire,E08000035,Leeds,-0.24
