Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,1.11
Greater Manchester,E08000002,Bury,0.68
Greater Manchester,E08000003,Manchester,2.06
Greater Manchester,E08000004,Oldham,1.23
Greater Manchester,E08000005,Rochdale,1.51
Greater Manchester,E08000006,Salford,1.75
Greater Manchester,E08000007,Stockport,0.75
Greater Manchester,E08000008,Tameside,1.53
Greater Manchester,E08000009,Trafford,0.08
Greater Manchester,E08000010,Wigan,1.16
Liverpool City Region,E06000006,Halton,1.65
Liverpool City Region,E08000015,Wirral,1.7
Liverpool City Region,E08000013,St. Helens,1.86
Liverpool City Region,E08000014,Sefton,1.36
Liverpool City Region,E08000011,Knowsley,2.35
Liverpool City Region,E08000012,Liverpool,2.3
North East,E08000024,Sunderland,1.49
North East,E08000037,Gateshead,1.48
North East,E06000047,County Durham,1.3
North East,E08000023,South Tyneside,1.54
West Midlands,E08000025,Birmingham,1.24
West Midlands,E08000026,Coventry,0.77
West Midlands,E08000027,Dudley,0.64
West Midlands,E08000029,Solihull,-0.2
West Midlands,E08000030,Walsall,1.07
West Midlands,E08000031,Wolverhampton,1.14
West Midlands,E08000028,Sandwell,1.29
West Yorkshire,E08000036,Wakefield,1.04
West Yorkshire,E08000032,Bradford,1.18
West Yorkshire,E08000033,Calderdale,0.61
West Yorkshire,E08000034,Kirklees,0.45
West Yorkshire,E08000035,Leeds,0.84
