Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,0.41
Greater Manchester,E08000002,Bury,-0.29
Greater Manchester,E08000003,Manchester,-0.23
Greater Manchester,E08000004,Oldham,0.77
Greater Manchester,E08000005,Rochdale,0.53
Greater Manchester,E08000006,Salford,0.64
Greater Manchester,E08000007,Stockport,-0.57
Greater Manchester,E08000008,Tameside,0.11
Greater Manchester,E08000009,Trafford,-0.91
Greater Manchester,E08000010,Wigan,0.94
Liverpool City Region,E06000006,Halton,2.08
Liverpool City Region,E08000015,Wirral,0.56
Liverpool City Region,E08000013,St. Helens,1.83
Liverpool City Region,E08000014,Sefton,0.41
Liverpool City Region,E08000011,Knowsley,0.62
Liverpool City Region,E08000012,Liverpool,-0.06
North East,E08000024,Sunderland,1.68
North East,E08000037,Gateshead,0.6
North East,E06000047,County Durham,1.49
North East,E08000023,South Tyneside,0.68
West Midlands,E08000025,Birmingham,0.26
West Midlands,E08000026,Coventry,0.15
West Midlands,E08000027,Dudley,0.85
West Midlands,E08000029,Solihull,-0.78
West Midlands,E08000030,Walsall,1.59
West Midlands,E08000031,Wolverhampton,1.59
West Midlands,E08000028,Sandwell,1.11
West Yorkshire,E08000036,Wakefield,1.0
West Yorkshire,E08000032,Bradford,0.94
West Yorkshire,E08000033,Calderdale,0.34
West Yorkshire,E08000034,Kirklees,0.32
West Yorkshire,E08000035,Leeds,0.6
