Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,1.15
Greater Manchester,E08000002,Bury,0.51
Greater Manchester,E08000003,Manchester,-0.25
Greater Manchester,E08000004,Oldham,1.87
Greater Manchester,E08000005,Rochdale,1.46
Greater Manchester,E08000006,Salford,0.44
Greater Manchester,E08000007,Stockport,0.22
Greater Manchester,E08000008,Tameside,1.1
Greater Manchester,E08000009,Trafford,-0.62
Greater Manchester,E08000010,Wigan,0.54
Liverpool City Region,E06000006,Halton,1.23
Liverpool City Region,E08000015,Wirral,1.08
Liverpool City Region,E08000013,St. Helens,1.35
Liverpool City Region,E08000014,Sefton,0.84
Liverpool City Region,E08000011,Knowsley,2.29
Liverpool City Region,E08000012,Liverpool,-0.11
North East,E08000024,Sunderland,1.53
North East,E08000037,Gateshead,1.67
North East,E06000047,County Durham,0.81
North East,E08000023,South Tyneside,1.72
West Midlands,E08000025,Birmingham,1.17
West Midlands,E08000026,Coventry,-0.33
West Midlands,E08000027,Dudley,1.23
West Midlands,E08000029,Solihull,0.15
West Midlands,E08000030,Walsall,2.28
West Midlands,E08000031,Wolverhampton,2.03
West Midlands,E08000028,Sandwell,1.91
West Yorkshire,E08000036,Wakefield,1.0
West Yorkshire,E08000032,Bradford,1.73
West Yorkshire,E08000033,Calderdale,0.96
West Yorkshire,E08000034,Kirklees,0.32
West Yorkshire,E08000035,Leeds,-0.72
