Combined Authority,Local Authority Code,Local Authority Name,Value
Greater Manchester,E08000001,Bolton,1.64
Greater Manchester,E08000002,Bury,1.08
Greater Manchester,E08000003,Manchester,2.59
Greater Manchester,E08000004,Oldham,1.93
Greater Manchester,E08000005,Rochdale,2.07
Greater Manchester,E08000006,Salford,1.59
Greater Manchester,E08000007,Stockport,0.92
Greater Manchester,E08000008,Tameside,1.66
Greater Manchester,E08000009,Trafford,0.17
Greater Manchester,E08000010,Wigan,1.01
Liverpool City Region,E06000006,Halton,0.79
Liverpool City Region,E08000015,Wirral,0.17
Liverpool City Region,E08000013,St. Helens,0.65
Liverpool City Region,E08000014,Sefton,0.11
Liverpool City Region,E08000011,Knowsley,0.69
Liverpool City Region,E08000012,Liverpool,1.41
North East,E08000024,Sunderland,1.06
North East,E08000037,Gateshead,0.96
North East,E06000047,County Durham,0.77
North East,E08000023,South Tyneside,0.91
West Midlands,E08000025,Birmingham,0.91
West Midlands,E08000026,Coventry,0.4
West Midlands,E08000027,Dudley,0.01
West Midlands,E08000029,Solihull,0.0
West Midlands,E08000030,Walsall,0.6
West Midlands,E08000031,Wolverhampton,0.39
West Midlands,E08000028,Sandwell,0.8
West Yorkshire,E08000036,Wakefield,1.26
West Yorkshire,E08000032,Bradford,2.04
West Yorkshire,E08000033,Calderdale,1.37
West Yorkshire,E08000034,Kirklees,1.2
West Yorkshire,E08000035,Leeds,1.55
