geography_code,Claimants percentage
E14000530,3.4296404073997087
E14000531,4.540793906547532
E14000532,1.996476805637111
E14000533,3.789267815670456
E14000534,2.0010672358591246
E14000535,5.764261578215066
E14000536,4.202772963604852
E14000537,7.018290089323692
E14000538,3.289181260556494
E14000539,2.952755905511811
E14000540,7.358661825726141
E14000541,4.320411022886502
E14000542,4.676496478873239
E14000543,4.620838080769718
E14000544,4.564225168441642
E14000545,4.036326942482341
E14000546,4.7839343917569135
E14000547,0.7899231426131512
E14000548,6.282769842704755
E14000549,3.4441587068332105
E14000550,2.284796838335186
E14000551,2.573340195573855
E14000552,5.387052965142599
E14000553,3.5498489425981874
E14000554,3.2673966796185097
E14000555,5.040806529044647
E14000556,3.303827452936043
E14000557,3.400121432908318
E14000558,4.154502582528632
E14000559,7.915711322196746
E14000560,5.065800341390893
E14000561,12.472794240750044
E14000562,9.66065423417915
E14000563,10.65686481912418
E14000564,7.951189433031512
E14000565,9.49078298959664
E14000566,11.53767612824178
E14000567,3.795816693685501
E14000568,10.000732654406916
E14000569,4.96969696969697
E14000570,6.489122280570142
E14000571,8.199804408335213
E14000572,6.6006600660066
E14000573,7.954690085274279
E14000574,4.144385026737968
E14000575,5.966277561608301
E14000576,4.813682183712765
E14000577,4.926108374384237
E14000578,7.072691552062868
E14000579,7.636150037761181
E14000580,4.6587467971115775
E14000581,7.100957085520222
E14000582,5.000543537341015
E14000583,3.322259136212625
E14000584,3.339404978749241
E14000585,2.527718733842707
E14000586,2.714141135339037
E14000587,11.06283422459893
E14000588,9.18933673005186
E14000589,8.698734729493891
E14000590,3.711500110791048
E14000591,8.072653884964682
E14000592,5.010160465279237
E14000593,5.172413793103448
E14000594,2.2577283779089963
E14000595,3.384962560262591
E14000596,4.131093362709997
E14000597,3.3580434644871064
E14000598,2.2944775651082523
E14000599,3.8100301258196
E14000600,3.137083242139053
E14000601,4.876349703935911
E14000602,1.5060645994137103
E14000603,2.467003823855927
E14000604,4.34516523867809
E14000605,3.293888007807735
E14000606,3.4904013961605584
E14000607,2.9403258459462065
E14000608,1.8382352941176472
E14000609,7.844514693829763
E14000610,4.466000768344218
E14000611,6.788631918076171
E14000612,5.353892279687333
E14000613,2.6163067262867474
E14000614,3.760645946244885
E14000615,8.479709267110842
E14000616,2.952657391652487
E14000617,1.210424783447441
E14000618,4.963176432917067
E14000619,2.139969881905366
E14000620,2.880254933202598
E14000621,4.220536382092104
E14000622,2.8961023289489565
E14000623,2.529395679518731
E14000624,2.1979260595130747
E14000625,2.4953212726138494
E14000626,4.981000308103112
E14000627,2.5028156676260798
E14000628,3.4712315739419872
E14000629,2.316052022091573
E14000630,2.7955595170569647
E14000631,1.924310455420141
E14000632,4.858395544495794
E14000633,2.474286823209781
E14000634,5.181655747468732
E14000635,3.489531405782652
E14000636,3.295668549905838
E14000637,3.773791292933713
E14000638,2.684872660325253
E14000639,1.8947715289982423
E14000640,3.411774997812965
E14000641,1.3858813339107838
E14000642,6.293610617047476
E14000643,4.560854834506125
E14000644,3.7431169956072514
E14000645,4.474040162314015
E14000646,2.7483313702394976
E14000647,3.3941771006184944
E14000648,4.173622704507513
E14000649,6.644857902269474
E14000650,4.959182116426337
E14000651,2.3013283616872524
E14000652,4.906246963956087
E14000653,4.129129129129129
E14000654,7.021624881537003
E14000655,8.68419274177198
E14000656,4.940521872601689
E14000657,6.654947262682069
E14000658,5.784061696658098
E14000659,4.075443085963416
E14000660,3.2043945983062483
E14000661,5.95903165735568
E14000662,4.368546465448769
E14000663,7.465352193170453
E14000664,1.78988326848249
E14000665,2.1559310102076736
E14000666,5.748098055790363
E14000667,4.900856241550248
E14000668,6.6470420662805045
E14000669,6.563957903873277
E14000670,5.407791634477431
E14000671,7.764868284826871
E14000672,5.8095478656226325
E14000673,7.374631268436578
E14000674,5.919464132720617
E14000675,7.39552704268021
E14000676,6.4512571680635205
E14000677,6.941741274166343
E14000678,2.003205128205128
E14000679,5.8311345646438
E14000680,1.934342876091522
E14000681,2.5385970365765207
E14000682,3.4266808460356843
E14000683,3.756963337219847
E14000684,4.716063788409179
E14000685,3.1237604125347085
E14000686,2.9344220464404187
E14000687,7.994023160254016
E14000688,4.40251572327044
E14000689,2.519757187034704
E14000690,5.208333333333334
E14000691,6.311672148635434
E14000692,3.7160288408208544
E14000693,3.5414623515310018
E14000694,1.749101156350209
E14000695,4.816847765206676
E14000696,5.960896518836433
E14000697,2.378121284185493
E14000698,1.6805377720870678
E14000699,2.3859727000332924
E14000700,3.765403925148334
E14000701,5.714909726266745
E14000702,2.013609220941536
E14000703,3.62116991643454
E14000704,4.590858641913026
E14000705,3.187250996015936
E14000706,3.7183184094703297
E14000707,4.339739615623063
E14000708,5.608028335301063
E14000709,5.203446216838693
E14000710,4.71039776692254
E14000711,4.355001375263592
E14000712,4.23044381201446
E14000713,3.797731765685152
E14000714,3.9020160416215046
E14000715,5.707196029776675
E14000716,7.673526334147191
E14000717,6.346133161234807
E14000718,6.150892412714215
E14000719,1.175861906777668
E14000720,7.590205202532611
E14000721,6.1715407812609575
E14000722,5.287623474723998
E14000723,7.0684523809523805
E14000724,2.292959266253035
E14000725,6.158954584404456
E14000726,4.480796586059744
E14000727,4.062879708383961
E14000728,2.653354919949632
E14000729,5.5371617764585
E14000730,2.2735651960181884
E14000731,3.654548951721485
E14000732,4.585489875601562
E14000733,6.361461505002175
E14000734,2.626005929690809
E14000735,5.934868621284366
E14000736,4.320372216683284
E14000737,6.2745098039215685
E14000738,3.398733199443844
E14000739,4.681950274459154
E14000740,5.0
E14000741,4.392678868552412
E14000742,1.4261944378416924
E14000743,3.3534159372513352
E14000744,2.0542709726734185
E14000745,3.3971587399629404
E14000746,2.352368591823491
E14000747,6.772009029345373
E14000748,3.231017770597738
E14000749,2.229785236474592
E14000750,2.8008187008510177
E14000751,4.405286343612335
E14000752,4.815117652403016
E14000753,2.21047573282076
E14000754,6.361481851066484
E14000755,3.637436099095556
E14000756,4.857666961070725
E14000757,3.112132528966772
E14000758,7.173219978746015
E14000759,4.825601083643752
E14000760,5.9205045816970125
E14000761,5.206479174083304
E14000762,4.291663125690491
E14000763,4.487264088689455
E14000764,3.181506065461204
E14000765,6.01215644820296
E14000766,5.781301618764453
E14000767,1.5984325048984225
E14000768,3.2045804136045124
E14000769,4.34304562946674
E14000770,2.5971175652937304
E14000771,7.476844102220734
E14000772,5.0831792975970425
E14000773,7.799349119066322
E14000774,2.7261462205700124
E14000775,6.740140267783951
E14000776,1.973615872026592
E14000777,3.4779447406689283
E14000778,8.82127333162874
E14000779,5.135648096460868
E14000780,1.5441209864208183
E14000781,6.707904884318766
E14000782,4.801300044319692
E14000783,3.4823371839946424
E14000784,6.236289564399875
E14000785,5.8068459657701705
E14000786,3.5101404056162244
E14000787,7.850301175076528
E14000788,7.591480065537957
E14000789,6.9186875891583455
E14000790,6.509433962264151
E14000791,3.0795762503079573
E14000792,2.65922377038372
E14000793,2.2934101056432525
E14000794,9.01630493467228
E14000795,6.131046415406605
E14000796,7.296334597265311
E14000797,1.6841231024777372
E14000798,3.129677507143829
E14000799,2.64
E14000800,6.330438422098986
E14000801,6.979695431472082
E14000802,3.056582314472562
E14000803,2.1714922048997773
E14000804,4.118538155652338
E14000805,3.990464344941957
E14000806,2.2126691111392085
E14000807,3.2600877091212843
E14000808,4.8585248919138735
E14000809,3.204281183932347
E14000810,5.75319328618178
E14000811,2.8429282160625444
E14000812,5.343511450381679
E14000813,2.299389957766307
E14000814,2.7142857142857144
E14000815,2.524544179523142
E14000816,2.8680688336520075
E14000817,2.14168039538715
E14000818,3.557312252964427
E14000819,6.495468277945619
E14000820,4.662283323371189
E14000821,5.119750086775425
E14000822,4.612244897959183
E14000823,6.479912271956934
E14000824,1.4013780217213592
E14000825,5.342019543973942
E14000826,3.4795095548436983
E14000827,2.640731675898493
E14000828,2.094322060192367
E14000829,3.8035209737013695
E14000830,2.3963223787167447
E14000831,3.4902753706913154
E14000832,1.6026722450907618
E14000833,4.030001119444755
E14000834,2.756257449344458
E14000835,2.7408524050979857
E14000836,6.11387084447841
E14000837,2.802904828640591
E14000838,3.027627097262521
E14000839,2.667005334010668
E14000840,4.997403946002077
E14000841,3.127171646977067
E14000842,4.30097362699688
E14000843,3.95778364116095
E14000844,1.5494636471990464
E14000845,2.5974025974025974
E14000846,1.9213877909530084
E14000847,2.544889014562421
E14000848,2.8735632183908044
E14000849,3.3193749361658664
E14000850,2.009545340366742
E14000851,3.562365801288308
E14000852,5.576635621478671
E14000853,6.181818181818182
E14000854,4.207158094335151
E14000855,4.414721566570504
E14000856,5.1105148843746
E14000857,2.4975024975024978
E14000858,2.682071384361461
E14000859,4.040667361835245
E14000860,2.343139807341838
E14000861,4.863387978142077
E14000862,4.792058873866164
E14000863,4.5759962928637625
E14000864,2.931684923412572
E14000865,4.023799534688584
E14000866,8.6848635235732
E14000867,1.6328680537266265
E14000868,5.642841336578889
E14000869,2.488124858629269
E14000870,7.060277115876798
E14000871,7.771609833465503
E14000872,3.229974160206718
E14000873,1.38636738735765
E14000874,1.447800907810299
E14000875,6.929762743716232
E14000876,3.655793025871766
E14000877,1.9157088122605364
