geography_code,date,date_name,value,notes
E14000531,2023-12-01,Jan 2023-Dec 2023,4.8,Normal Value
E14000532,2023-12-01,Jan 2023-Dec 2023,4.6,Normal Value
E14000533,2023-03-01,Apr 2022-Mar 2023,3.7,Normal Value
E14000534,2022-06-01,Jul 2021-Jun 2022,3.9,Normal Value
E14000535,2024-03-01,Apr 2023-Mar 2024,9.8,Normal Value
E14000536,2023-12-01,Jan 2023-Dec 2023,5.1,Normal Value
E14000537,2024-03-01,Apr 2023-Mar 2024,7.7,Normal Value
E14000538,2024-03-01,Apr 2023-Mar 2024,7.8,Normal Value
E14000540,2024-03-01,Apr 2023-Mar 2024,5.2,Normal Value
E14000541,2023-09-01,Oct 2022-Sep 2023,2.5,Normal Value
E14000542,2024-03-01,Apr 2023-Mar 2024,3.8,Normal Value
E14000543,2024-03-01,Apr 2023-Mar 2024,2.9,Normal Value
E14000544,2024-03-01,Apr 2023-Mar 2024,12.0,Normal Value
E14000545,2024-03-01,Apr 2023-Mar 2024,6.1,Normal Value
E14000546,2022-12-01,Jan 2022-Dec 2022,4.5,Normal Value
E14000547,2024-03-01,Apr 2023-Mar 2024,2.1,Normal Value
E14000548,2023-03-01,Apr 2022-Mar 2023,7.0,Normal Value
E14000549,2023-03-01,Apr 2022-Mar 2023,4.4,Normal Value
E14000550,2023-03-01,Apr 2022-Mar 2023,6.3,Normal Value
E14000551,2024-03-01,Apr 2023-Mar 2024,7.1,Normal Value
E14000552,2024-03-01,Apr 2023-Mar 2024,4.7,Normal Value
E14000553,2023-12-01,Jan 2023-Dec 2023,3.9,Normal Value
E14000554,2024-03-01,Apr 2023-Mar 2024,5.5,Normal Value
E14000555,2023-09-01,Oct 2022-Sep 2023,5.8,Normal Value
E14000556,2023-06-01,Jul 2022-Jun 2023,4.1,Normal Value
E14000557,2022-12-01,Jan 2022-Dec 2022,5.7,Normal Value
E14000558,2024-03-01,Apr 2023-Mar 2024,12.1,Normal Value
E14000559,2022-09-01,Oct 2021-Sep 2022,8.8,Normal Value
E14000560,2023-06-01,Jul 2022-Jun 2023,5.0,Normal Value
E14000561,2024-03-01,Apr 2023-Mar 2024,9.1,Normal Value
E14000562,2023-09-01,Oct 2022-Sep 2023,15.7,Normal Value
E14000563,2024-03-01,Apr 2023-Mar 2024,9.7,Normal Value
E14000564,2024-03-01,Apr 2023-Mar 2024,6.0,Normal Value
E14000565,2024-03-01,Apr 2023-Mar 2024,8.3,Normal Value
E14000566,2024-03-01,Apr 2023-Mar 2024,15.7,Normal Value
E14000567,2024-03-01,Apr 2023-Mar 2024,5.4,Normal Value
E14000568,2023-03-01,Apr 2022-Mar 2023,8.5,Normal Value
E14000569,2024-03-01,Apr 2023-Mar 2024,8.2,Normal Value
E14000570,2024-03-01,Apr 2023-Mar 2024,7.0,Normal Value
E14000571,2024-03-01,Apr 2023-Mar 2024,10.2,Normal Value
E14000572,2024-03-01,Apr 2023-Mar 2024,2.6,Normal Value
E14000573,2024-03-01,Apr 2023-Mar 2024,11.0,Normal Value
E14000574,2024-03-01,Apr 2023-Mar 2024,5.1,Normal Value
E14000575,2024-03-01,Apr 2023-Mar 2024,4.1,Normal Value
E14000576,2022-12-01,Jan 2022-Dec 2022,4.6,Normal Value
E14000577,2024-03-01,Apr 2023-Mar 2024,4.9,Normal Value
E14000578,2022-12-01,Jan 2022-Dec 2022,4.1,Normal Value
E14000579,2024-03-01,Apr 2023-Mar 2024,17.7,Normal Value
E14000580,2023-12-01,Jan 2023-Dec 2023,4.5,Normal Value
E14000581,2022-12-01,Jan 2022-Dec 2022,4.8,Normal Value
E14000582,2023-12-01,Jan 2023-Dec 2023,6.1,Normal Value
E14000583,2022-06-01,Jul 2021-Jun 2022,2.8,Normal Value
E14000584,2024-03-01,Apr 2023-Mar 2024,3.2,Normal Value
E14000585,2024-03-01,Apr 2023-Mar 2024,6.4,Normal Value
E14000586,2024-03-01,Apr 2023-Mar 2024,3.6,Normal Value
E14000587,2023-03-01,Apr 2022-Mar 2023,6.5,Normal Value
E14000588,2024-03-01,Apr 2023-Mar 2024,8.2,Normal Value
E14000589,2024-03-01,Apr 2023-Mar 2024,17.1,Normal Value
E14000590,2023-06-01,Jul 2022-Jun 2023,6.5,Normal Value
E14000592,2022-12-01,Jan 2022-Dec 2022,8.4,Normal Value
E14000595,2023-09-01,Oct 2022-Sep 2023,6.3,Normal Value
E14000596,2024-03-01,Apr 2023-Mar 2024,2.9,Normal Value
E14000597,2023-06-01,Jul 2022-Jun 2023,5.1,Normal Value
E14000598,2024-03-01,Apr 2023-Mar 2024,3.9,Normal Value
E14000599,2022-12-01,Jan 2022-Dec 2022,4.2,Normal Value
E14000600,2024-03-01,Apr 2023-Mar 2024,3.5,Normal Value
E14000601,2024-03-01,Apr 2023-Mar 2024,6.7,Normal Value
E14000602,2024-03-01,Apr 2023-Mar 2024,2.5,Normal Value
E14000603,2022-06-01,Jul 2021-Jun 2022,4.4,Normal Value
E14000604,2024-03-01,Apr 2023-Mar 2024,5.6,Normal Value
E14000605,2022-09-01,Oct 2021-Sep 2022,4.8,Normal Value
E14000606,2022-03-01,Apr 2021-Mar 2022,3.9,Normal Value
E14000607,2024-03-01,Apr 2023-Mar 2024,4.2,Normal Value
E14000608,2024-03-01,Apr 2023-Mar 2024,4.9,Normal Value
E14000609,2022-03-01,Apr 2021-Mar 2022,6.1,Normal Value
E14000610,2022-09-01,Oct 2021-Sep 2022,4.2,Normal Value
E14000611,2022-12-01,Jan 2022-Dec 2022,1.8,Normal Value
E14000612,2024-03-01,Apr 2023-Mar 2024,7.4,Normal Value
E14000613,2024-03-01,Apr 2023-Mar 2024,3.7,Normal Value
E14000614,2023-09-01,Oct 2022-Sep 2023,4.0,Normal Value
E14000615,2024-03-01,Apr 2023-Mar 2024,8.8,Normal Value
E14000616,2023-12-01,Jan 2023-Dec 2023,4.1,Normal Value
E14000617,2024-03-01,Apr 2023-Mar 2024,5.8,Normal Value
E14000618,2022-12-01,Jan 2022-Dec 2022,4.2,Normal Value
E14000620,2024-03-01,Apr 2023-Mar 2024,3.8,Normal Value
E14000621,2023-09-01,Oct 2022-Sep 2023,2.5,Normal Value
