ITL level,ITL code,Region name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ITL2,TLC1,Tees Valley and Durham,448066,461704,460748,462391,479430,481725,476818,472500,465963,458236,454400,466069,463411,473047,457568,462295,471844,469116,476332
ITL2,TLC2,Northumberland and Tyne and Wear,616048,622741,636633,658649,661018,658159,666614,666701,658899,652694,648724,647319,650554,664222,656943,667538,678605,666705,658791
ITL2,TLD1,Cumbria,220665,242778,245999,226004,244895,246119,247953,248436,248118,245905,255384,255360,257819,258985,257735,252138,258551,264199,260228
ITL2,TLD3,Greater Manchester,1215366,1233514,1261640,1256908,1241763,1261666,1259928,1252686,1266977,1244128,1255272,1279308,1319170,1327591,1350662,1381867,1431988,1453038,1440134
ITL2,TLD4,Lancashire,649790,646383,665643,658837,660329,674545,682036,673089,668309,680588,664370,671069,680532,676105,686671,678225,687567,699009,703361
ITL2,TLD6,Cheshire,452267,449875,450539,461658,467548,467055,470070,468521,475032,473666,474807,486670,499949,511241,523086,528846,528164,543084,535782
ITL2,TLD7,Merseyside,623532,623540,625618,637028,627416,632230,635985,628530,626710,626622,625742,625792,642796,648857,646230,672426,670328,693544,681930
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,382885,394020,407337,398749,398568,402080,398148,401912,400717,401371,394722,392448,403477,403733,414392,423624,427381,421893,420455
ITL2,TLE2,North Yorkshire,391510,398507,385490,399148,406638,406942,413235,418580,417524,415825,424553,425701,423282,439859,441697,439164,448352,435833,431293
ITL2,TLE3,South Yorkshire,537266,548692,573664,578317,581945,581827,578171,572889,565027,567508,566676,565074,586932,594124,611847,602508,608163,614572,614334
ITL2,TLE4,West Yorkshire,1003310,1015226,1059329,1056236,1054738,1059997,1062121,1046710,1056606,1060210,1056084,1066769,1082759,1119949,1124558,1133537,1146077,1156043,1134437
ITL2,TLF1,Derbyshire and Nottinghamshire,892614,894098,904081,945643,945968,958429,948411,928999,944991,958765,964232,964248,979578,1002336,1005993,1005479,1018605,1026163,1006169
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",766833,781773,798196,819183,819979,839013,838154,818238,826808,840045,845771,852477,857851,876992,902011,920129,909669,939997,937902
ITL2,TLF3,Lincolnshire,285920,293203,288661,297424,308144,321597,315714,310364,312975,322958,312754,310678,317292,319669,324975,335863,332299,329503,335433
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",570598,590195,601020,607908,625873,635318,641213,632396,616368,628470,637722,638198,656612,663603,686127,716431,716584,720681,711437
ITL2,TLG2,Shropshire and Staffordshire,679207,679263,683082,687895,696045,687312,701551,697201,692202,680494,699733,710777,709442,730105,744349,742512,756108,758064,751387
ITL2,TLG3,West Midlands,1255737,1259601,1251331,1262802,1273564,1264415,1255600,1195152,1205506,1213828,1232670,1256240,1273132,1306818,1302479,1317780,1355928,1368697,1356761
ITL2,TLH1,East Anglia,1079436,1083195,1099583,1093217,1167383,1164550,1148855,1129891,1145007,1142862,1158787,1168075,1203765,1227299,1236063,1259122,1273229,1256502,1292481
ITL2,TLH2,Bedfordshire and Hertfordshire,799891,815528,831222,831836,823039,840183,858085,845741,835648,843345,848194,877577,918943,928202,935734,961775,979718,996856,992076
ITL2,TLH3,Essex,719622,724065,723604,718306,726634,737444,748220,736119,730284,739717,765747,748058,761205,785172,802522,813590,825294,821829,823203
ITL2,TLI3,Inner London - West,1588536,1569572,1523709,1561863,1581421,1607956,1661673,1668076,1679600,1736464,1805114,1851424,1911480,1960671,2014115,2052751,2112085,2173933,2113000
ITL2,TLI4,Inner London - East,951096,965408,996467,1021111,1033635,1068810,1120836,1120414,1093963,1129263,1175780,1226975,1306749,1335570,1354806,1378328,1441647,1450166,1438610
ITL2,TLI5,Outer London - East and North East,543737,550023,545694,551148,530109,526692,547234,525889,533329,521032,548215,563058,586664,596505,598800,613700,623756,632574,620144
ITL2,TLI6,Outer London - South,489421,492611,503821,489021,511635,506930,515680,480617,481663,469758,481316,485516,493702,498536,512386,526814,514307,510550,513135
ITL2,TLI7,Outer London - West and North West,847426,853188,840819,851888,866158,868632,876194,862396,856521,877123,912448,937107,959588,963220,994310,1007307,983414,981585,983577
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1217042,1226379,1250516,1215496,1241313,1255700,1276471,1247418,1248761,1272191,1297459,1307534,1348020,1369351,1428625,1417372,1412393,1452770,1420429
ITL2,TLJ2,"Surrey, East and West Sussex",1291736,1298309,1262895,1286015,1306845,1316254,1319525,1316275,1342040,1339201,1374180,1367697,1402394,1429285,1454476,1440192,1445471,1489911,1427063
ITL2,TLJ3,Hampshire and Isle of Wight,918384,898136,916786,934491,918402,933432,937786,915821,935834,944489,954065,956375,967718,994031,989805,967412,969986,981015,965323
