Category,Response,Male,Female
---,---,---,
Making a job application,Making an initial application for a job,43,31
At a job interview ,At a job interview,43,28
Trying to get promoted,Trying to get promoted at work,44,23
Annual review/appraisal,At an annual review or appraisal at work,36,14
At team meetings,At team meetings/gatherings at work,41,26
At a job centre ,With a job/work coach at a job centre,39,15
With a careers adviser,With a careers adviser,40,16
When work is allocated,When work is being divided up and allocated to staff,43,26
Engaging with clients ,"When engaging with customers, clients or external people",49,42
Work social events ,Work social events,40,25
Seeking investment,When seeking investment to start my own business,40,13
Looking for new clients,When looking for new customers/clients for my own business,40,15
