Category,Response,White,Asian/Asian British,Black/African/Caribbean/Black British,Other
---,---,---,---,---,---
Making a job application,Making an initial application for a job,29,28,43,32
At a job interview ,At a job interview,16,25,42,31
Trying to get promoted,Trying to get promoted at work,17,20,40,22
Annual review/appraisal,At an annual review or appraisal at work,3,11,30,16
At team meetings,At team meetings/gatherings at work,16,23,38,28
At a job centre ,With a job/work coach at a job centre,5,11,30,16
With a careers adviser,With a careers adviser,7,13,27,18
When work is allocated,When work is being divided up and allocated to staff,11,24,41,25
Engaging with clients ,"When engaging with customers, clients or external people",24,40,55,48
Work social events ,Work social events,11,22,42,27
Seeking investment,When seeking investment to start my own business,0,10,29,15
Looking for new clients,When looking for new customers/clients for my own business,3,12,30,16
