country_code,indicator,age_range,measure,frequency,time,value
AUS,NEET,15_29_MEN,PC_AGE,A,2022,8.3
AUT,NEET,15_29_MEN,PC_AGE,A,2022,10.3
BEL,NEET,15_29_MEN,PC_AGE,A,2022,9.2
CAN,NEET,15_29_MEN,PC_AGE,A,2022,12.1
CZE,NEET,15_29_MEN,PC_AGE,A,2022,6.5
DNK,NEET,15_29_MEN,PC_AGE,A,2022,10.1
FIN,NEET,15_29_MEN,PC_AGE,A,2022,11.8
FRA,NEET,15_29_MEN,PC_AGE,A,2022,13.2
DEU,NEET,15_29_MEN,PC_AGE,A,2022,7.5
GRC,NEET,15_29_MEN,PC_AGE,A,2022,15.1
HUN,NEET,15_29_MEN,PC_AGE,A,2022,8.3
ISL,NEET,15_29_MEN,PC_AGE,A,2022,6.8
IRL,NEET,15_29_MEN,PC_AGE,A,2022,8.4
ITA,NEET,15_29_MEN,PC_AGE,A,2022,21.8
MEX,NEET,15_29_MEN,PC_AGE,A,2022,9.2
NLD,NEET,15_29_MEN,PC_AGE,A,2022,4.3
NZL,NEET,15_29_MEN,PC_AGE,A,2022,10.5
NOR,NEET,15_29_MEN,PC_AGE,A,2022,6.6
POL,NEET,15_29_MEN,PC_AGE,A,2022,10.7
PRT,NEET,15_29_MEN,PC_AGE,A,2022,10.6
SVK,NEET,15_29_MEN,PC_AGE,A,2022,10.9
ESP,NEET,15_29_MEN,PC_AGE,A,2022,16.4
SWE,NEET,15_29_MEN,PC_AGE,A,2022,7.1
CHE,NEET,15_29_MEN,PC_AGE,A,2022,13.7
TUR,NEET,15_29_MEN,PC_AGE,A,2022,17.3
GBR,NEET,15_29_MEN,PC_AGE,A,2022,10.7
USA,NEET,15_29_MEN,PC_AGE,A,2022,12.7
BRA,NEET,15_29_MEN,PC_AGE,A,2022,14.3
COL,NEET,15_29_MEN,PC_AGE,A,2022,16.0
EST,NEET,15_29_MEN,PC_AGE,A,2022,12.6
ISR,NEET,15_29_MEN,PC_AGE,A,2022,11.6
LVA,NEET,15_29_MEN,PC_AGE,A,2022,9.8
LTU,NEET,15_29_MEN,PC_AGE,A,2022,11.1
SVN,NEET,15_29_MEN,PC_AGE,A,2022,9.2
ZAF,NEET,15_29_MEN,PC_AGE,A,2022,40.0
CRI,NEET,15_29_MEN,PC_AGE,A,2022,15.6
OAVG,NEET,15_29_MEN,PC_AGE,A,2022,11.1
BGR,NEET,15_29_MEN,PC_AGE,A,2022,13.8
ROU,NEET,15_29_MEN,PC_AGE,A,2022,14.8
