country_code,country,measure,sex,age,frequency,time_period,value,units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2022,37.7,Units
FIN,Finland,Inactivity rate,Female,15 years or over,Annual,2022,41.8,Units
KOR,Korea,Inactivity rate,Female,15 years or over,Annual,2022,45.4,Units
ISL,Iceland,Inactivity rate,Female,15 years or over,Annual,2022,29.3,Units
CAN,Canada,Inactivity rate,Female,15 years or over,Annual,2022,38.5,Units
ISR,Israel,Inactivity rate,Female,15 years or over,Annual,2022,39.9,Units
DEU,Germany,Inactivity rate,Female,15 years or over,Annual,2022,43.8,Units
DNK,Denmark,Inactivity rate,Female,15 years or over,Annual,2022,40.6,Units
ITA,Italy,Inactivity rate,Female,15 years or over,Annual,2022,59.3,Units
JPN,Japan,Inactivity rate,Female,15 years or over,Annual,2022,45.7,Units
CZE,Czechia,Inactivity rate,Female,15 years or over,Annual,2022,47.8,Units
PRT,Portugal,Inactivity rate,Female,15 years or over,Annual,2022,45.6,Units
EA20,Euro area (20 countries),Inactivity rate,Female,15 years or over,Annual,2022,47.9,Units
MEX,Mexico,Inactivity rate,Female,15 years or over,Annual,2022,55.0,Units
TUR,Türkiye,Inactivity rate,Female,15 years or over,Annual,2022,64.9,Units
BEL,Belgium,Inactivity rate,Female,15 years or over,Annual,2022,49.2,Units
GRC,Greece,Inactivity rate,Female,15 years or over,Annual,2022,55.3,Units
FRA,France,Inactivity rate,Female,15 years or over,Annual,2022,47.5,Units
LUX,Luxembourg,Inactivity rate,Female,15 years or over,Annual,2022,42.0,Units
EU27_2020,European Union (27 countries from 01/02/2020),Inactivity rate,Female,15 years or over,Annual,2022,48.1,Units
NZL,New Zealand,Inactivity rate,Female,15 years or over,Annual,2022,33.1,Units
GBR,United Kingdom,Inactivity rate,Female,15 years or over,Annual,2022,41.0,Units
OECD,OECD,Inactivity rate,Female,15 years or over,Annual,2022,47.1,Units
AUT,Austria,Inactivity rate,Female,15 years or over,Annual,2022,43.6,Units
EST,Estonia,Inactivity rate,Female,15 years or over,Annual,2022,39.4,Units
HUN,Hungary,Inactivity rate,Female,15 years or over,Annual,2022,46.4,Units
CHE,Switzerland,Inactivity rate,Female,15 years or over,Annual,2022,38.5,Units
SVN,Slovenia,Inactivity rate,Female,15 years or over,Annual,2022,45.8,Units
CRI,Costa Rica,Inactivity rate,Female,15 years or over,Annual,2022,51.6,Units
POL,Poland,Inactivity rate,Female,15 years or over,Annual,2022,49.9,Units
NLD,Netherlands,Inactivity rate,Female,15 years or over,Annual,2022,36.4,Units
USA,United States,Inactivity rate,Female,15 years or over,Annual,2022,43.2,Units
LTU,Lithuania,Inactivity rate,Female,15 years or over,Annual,2022,41.2,Units
CHL,Chile,Inactivity rate,Female,15 years or over,Annual,2022,50.2,Units
SWE,Sweden,Inactivity rate,Female,15 years or over,Annual,2022,36.3,Units
LVA,Latvia,Inactivity rate,Female,15 years or over,Annual,2022,44.4,Units
SVK,Slovak Republic,Inactivity rate,Female,15 years or over,Annual,2022,43.8,Units
ESP,Spain,Inactivity rate,Female,15 years or over,Annual,2022,46.8,Units
IRL,Ireland,Inactivity rate,Female,15 years or over,Annual,2022,40.6,Units
COL,Colombia,Inactivity rate,Female,15 years or over,Annual,2022,48.2,Units
NOR,Norway,Inactivity rate,Female,15 years or over,Annual,2022,37.4,Units
