country_code,indicator,age_range,measure,frequency,time,value
AUS,NEET,15_19,PC_AGE,A,2022,5.4
AUT,NEET,15_19,PC_AGE,A,2022,7.0
BEL,NEET,15_19,PC_AGE,A,2022,3.0
CAN,NEET,15_19,PC_AGE,A,2022,5.9
CZE,NEET,15_19,PC_AGE,A,2022,7.6
DNK,NEET,15_19,PC_AGE,A,2022,3.6
FIN,NEET,15_19,PC_AGE,A,2022,5.8
FRA,NEET,15_19,PC_AGE,A,2022,6.4
DEU,NEET,15_19,PC_AGE,A,2022,4.6
GRC,NEET,15_19,PC_AGE,A,2022,4.3
HUN,NEET,15_19,PC_AGE,A,2022,5.7
ISL,NEET,15_19,PC_AGE,A,2022,3.8
IRL,NEET,15_19,PC_AGE,A,2022,3.2
ITA,NEET,15_19,PC_AGE,A,2022,13.9
MEX,NEET,15_19,PC_AGE,A,2022,13.7
NLD,NEET,15_19,PC_AGE,A,2022,1.8
NZL,NEET,15_19,PC_AGE,A,2022,8.3
NOR,NEET,15_19,PC_AGE,A,2022,3.2
POL,NEET,15_19,PC_AGE,A,2022,7.0
PRT,NEET,15_19,PC_AGE,A,2022,4.1
SVK,NEET,15_19,PC_AGE,A,2022,5.9
ESP,NEET,15_19,PC_AGE,A,2022,7.5
SWE,NEET,15_19,PC_AGE,A,2022,3.7
CHE,NEET,15_19,PC_AGE,A,2022,20.4
TUR,NEET,15_19,PC_AGE,A,2022,16.7
GBR,NEET,15_19,PC_AGE,A,2022,7.4
USA,NEET,15_19,PC_AGE,A,2022,8.7
BRA,NEET,15_19,PC_AGE,A,2022,12.6
EST,NEET,15_19,PC_AGE,A,2022,7.2
ISR,NEET,15_19,PC_AGE,A,2022,9.4
SVN,NEET,15_19,PC_AGE,A,2022,13.6
ZAF,NEET,15_19,PC_AGE,A,2022,15.0
OAVG,NEET,15_19,PC_AGE,A,2022,8.0
LVA,NEET,15_19,PC_AGE,A,2022,4.1
COL,NEET,15_19,PC_AGE,A,2022,21.1
LTU,NEET,15_19,PC_AGE,A,2022,7.8
CRI,NEET,15_19,PC_AGE,A,2022,20.8
BGR,NEET,15_19,PC_AGE,A,2022,8.7
ROU,NEET,15_19,PC_AGE,A,2022,10.6
