country_code,indicator,age_range,measure,frequency,time,value
AUS,NEET,15_19_WOMEN,PC_AGE,A,2022,5.2
AUT,NEET,15_19_WOMEN,PC_AGE,A,2022,6.1
BEL,NEET,15_19_WOMEN,PC_AGE,A,2022,3.0
CAN,NEET,15_19_WOMEN,PC_AGE,A,2022,4.7
CZE,NEET,15_19_WOMEN,PC_AGE,A,2022,7.0
DNK,NEET,15_19_WOMEN,PC_AGE,A,2022,3.1
FIN,NEET,15_19_WOMEN,PC_AGE,A,2022,5.4
FRA,NEET,15_19_WOMEN,PC_AGE,A,2022,5.1
DEU,NEET,15_19_WOMEN,PC_AGE,A,2022,5.0
GRC,NEET,15_19_WOMEN,PC_AGE,A,2022,3.7
HUN,NEET,15_19_WOMEN,PC_AGE,A,2022,6.3
ISL,NEET,15_19_WOMEN,PC_AGE,A,2022,1.7
IRL,NEET,15_19_WOMEN,PC_AGE,A,2022,3.6
ITA,NEET,15_19_WOMEN,PC_AGE,A,2022,12.9
MEX,NEET,15_19_WOMEN,PC_AGE,A,2022,18.3
NLD,NEET,15_19_WOMEN,PC_AGE,A,2022,1.8
NZL,NEET,15_19_WOMEN,PC_AGE,A,2022,7.4
NOR,NEET,15_19_WOMEN,PC_AGE,A,2022,3.3
POL,NEET,15_19_WOMEN,PC_AGE,A,2022,6.6
PRT,NEET,15_19_WOMEN,PC_AGE,A,2022,4.4
SVK,NEET,15_19_WOMEN,PC_AGE,A,2022,5.2
ESP,NEET,15_19_WOMEN,PC_AGE,A,2022,7.4
CHE,NEET,15_19_WOMEN,PC_AGE,A,2022,19.4
TUR,NEET,15_19_WOMEN,PC_AGE,A,2022,21.3
GBR,NEET,15_19_WOMEN,PC_AGE,A,2022,5.9
USA,NEET,15_19_WOMEN,PC_AGE,A,2022,8.2
BRA,NEET,15_19_WOMEN,PC_AGE,A,2022,14.8
COL,NEET,15_19_WOMEN,PC_AGE,A,2022,25.2
EST,NEET,15_19_WOMEN,PC_AGE,A,2022,5.7
ISR,NEET,15_19_WOMEN,PC_AGE,A,2022,9.3
LVA,NEET,15_19_WOMEN,PC_AGE,A,2022,5.9
LTU,NEET,15_19_WOMEN,PC_AGE,A,2022,6.9
SVN,NEET,15_19_WOMEN,PC_AGE,A,2022,14.1
ZAF,NEET,15_19_WOMEN,PC_AGE,A,2022,15.9
CRI,NEET,15_19_WOMEN,PC_AGE,A,2022,22.5
OAVG,NEET,15_19_WOMEN,PC_AGE,A,2022,8.2
BGR,NEET,15_19_WOMEN,PC_AGE,A,2022,10.5
ROU,NEET,15_19_WOMEN,PC_AGE,A,2022,9.5
