REF_AREA,country,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I
,,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
ARG,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.099999999999998,18.26666666666667,19.133333333333333,24.333333333333332,25.433333333333334,24.166666666666668,26.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.400000000000002,22.233333333333334,25.133333333333336,24.8,21.233333333333334,24.333333333333332,30.200000000000003
AUS,Australia,9.233333333333333,10.533333333333333,10.766666666666666,11.5,11.6,10.833333333333334,12.166666666666666,12.300000000000002,12.066666666666668,13.1,13.166666666666666,,13.933333333333332,15.4,16.46666666666667,14.799999999999999,16.03333333333333,14.866666666666667,14.966666666666669,17.166666666666668,15.633333333333335,16.633333333333336,17.566666666666666,15.5,17.933333333333334,19.2,19.2,18.933333333333334,19.333333333333332,19.0,18.366666666666667,18.2,18.633333333333333,19.333333333333332,17.666666666666668,18.46666666666667,18.7,20.133333333333336,19.166666666666668,,,,,,13.133333333333333,13.266666666666666,13.299999999999999,14.366666666666667,15.166666666666666,15.166666666666666,15.4,18.0,16.23333333333333,15.9,14.833333333333334,15.166666666666666,15.166666666666666,15.666666666666666,15.533333333333333,15.733333333333333,14.799999999999999,14.566666666666665,13.766666666666666,14.133333333333333,14.366666666666667,,12.733333333333334,13.200000000000001,14.9,16.833333333333332,15.9,15.533333333333333,15.466666666666667,15.966666666666667,16.433333333333334,15.733333333333334,16.566666666666666,18.066666666666666,15.1,16.5,17.400000000000002,18.133333333333336,16.566666666666666,15.166666666666666,15.9,16.066666666666666,15.433333333333332,15.866666666666667,16.900000000000002,18.900000000000002,18.2,16.933333333333334,17.7
AUT,Austria,,,,,,,,,,,,,,,,,,,,18.366666666666667,18.7,18.933333333333334,19.133333333333333,19.233333333333334,19.666666666666668,19.599999999999998,19.566666666666666,19.733333333333334,19.533333333333335,19.633333333333336,19.8,19.900000000000002,19.733333333333334,19.733333333333334,19.566666666666666,19.7,19.433333333333334,19.133333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.166666666666668,17.266666666666666,17.733333333333334,18.133333333333333,17.8,17.766666666666666,18.166666666666668,17.76666666666667,17.7,17.5,17.466666666666665,17.400000000000002,16.900000000000002,16.566666666666666,16.366666666666667,16.133333333333333,16.033333333333335,16.266666666666666,15.6,
BEL,Belgium,,,,,,,,,,,,,,,9.266666666666667,10.200000000000001,9.733333333333333,9.6,10.966666666666667,11.366666666666667,12.033333333333333,11.766666666666666,10.566666666666666,10.333333333333334,10.866666666666667,12.266666666666666,13.1,12.866666666666667,13.299999999999999,12.4,12.733333333333334,13.166666666666666,13.5,11.6,12.333333333333334,12.366666666666667,12.4,13.233333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.933333333333334,8.0,7.566666666666667,6.833333333333333,4.933333333333334,4.433333333333334,5.066666666666666,6.266666666666667,7.3,5.2,3.6999999999999997,4.966666666666667,4.466666666666667,5.833333333333333,9.466666666666667,11.666666666666666,12.299999999999999,11.466666666666667,11.933333333333332,
BGR,Bulgaria,,,,,,,,,,,,,,,,,,24.333333333333332,,,,29.333333333333332,,,,28.0,,,,27.666666666666668,,,,27.0,26.5,25.866666666666664,28.7,28.233333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,,22.96666666666667,,,,19.933333333333334,,,,16.866666666666664,,,,20.433333333333334,20.166666666666668,23.433333333333334,22.933333333333334,24.666666666666668,
BRA,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.53333333333333,25.8,26.866666666666664,26.733333333333334,29.366666666666664,24.5,25.133333333333336,26.099999999999998,29.0,28.599999999999998,26.400000000000002,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.533333333333333,7.133333333333333,21.0,18.900000000000002,7.300000000000001,7.433333333333334,20.866666666666667,19.099999999999998,6.166666666666667,8.033333333333333,7.2,25.96666666666667
CAN,Canada,,,,,,,,,,,,,18.833333333333332,19.866666666666667,19.8,19.73333333333333,19.5,19.166666666666668,19.866666666666667,20.233333333333334,20.066666666666666,21.133333333333336,21.900000000000002,21.066666666666666,21.8,21.066666666666666,21.96666666666667,21.766666666666666,22.8,22.066666666666663,22.5,22.03333333333333,22.2,21.900000000000002,22.433333333333334,21.333333333333332,20.433333333333334,21.0,21.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.633333333333336,21.900000000000002,23.733333333333334,24.0,22.666666666666668,22.96666666666667,22.5,22.900000000000002,21.8,22.933333333333334,22.366666666666664,22.5,20.933333333333334,21.53333333333333,21.933333333333334,22.166666666666668,21.3,22.766666666666666,22.53333333333333,22.599999999999998,22.3,20.966666666666665,19.633333333333333,18.933333333333334,19.733333333333334,19.366666666666667,19.400000000000002
CHE,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.366666666666667,,13.466666666666667,,12.333333333333334,,12.133333333333333,,12.200000000000001,,12.333333333333334,,12.166666666666666,,12.266666666666666,
