country_code,country,isced,gender,age,piaac_category_code,piaac_category,indicator,measure,year,value
AUS,Australia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,70.0
AUT,Austria,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,68.0
CAN,Canada,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,75.0
CZE,Czechia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,
DNK,Denmark,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,69.0
FIN,Finland,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,66.0
FRA,France,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,65.0
DEU,Germany,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,74.0
GRC,Greece,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2015,69.0
IRL,Ireland,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,72.0
ITA,Italy,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,77.0
JPN,Japan,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,
KOR,Korea,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,86.0
NLD,Netherlands,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,74.0
NZL,New Zealand,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2015,76.0
NOR,Norway,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,73.0
POL,Poland,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,86.0
SVK,Slovak Republic,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,
ESP,Spain,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,73.0
SWE,Sweden,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,60.0
TUR,Türkiye,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2015,65.0
USA,United States,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,76.0
CHL,Chile,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2015,87.0
EST,Estonia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,79.0
ISR,Israel,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2015,77.0
LTU,Lithuania,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2015,83.0
SGP,Singapore,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2015,85.0
SVN,Slovenia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2015,74.0
BEL-VLG,Flanders,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,68.0
GBR-ENG,England,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,73.0
GBR-NIR,Northern Ireland,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,65.0
AVG_UNITARY,Unweighted average (Unitary countries),Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",Value,2012,73.0
