country_code,indicator,age_range,measure,frequency,time,value
AUS,NEET,15_19_MEN,PC_AGE,A,2022,5.6
AUT,NEET,15_19_MEN,PC_AGE,A,2022,7.9
BEL,NEET,15_19_MEN,PC_AGE,A,2022,2.9
CAN,NEET,15_19_MEN,PC_AGE,A,2022,7.1
CZE,NEET,15_19_MEN,PC_AGE,A,2022,8.2
DNK,NEET,15_19_MEN,PC_AGE,A,2022,4.0
FIN,NEET,15_19_MEN,PC_AGE,A,2022,6.3
FRA,NEET,15_19_MEN,PC_AGE,A,2022,7.5
DEU,NEET,15_19_MEN,PC_AGE,A,2022,4.3
GRC,NEET,15_19_MEN,PC_AGE,A,2022,5.0
HUN,NEET,15_19_MEN,PC_AGE,A,2022,5.2
ISL,NEET,15_19_MEN,PC_AGE,A,2022,5.9
IRL,NEET,15_19_MEN,PC_AGE,A,2022,2.9
ITA,NEET,15_19_MEN,PC_AGE,A,2022,14.9
MEX,NEET,15_19_MEN,PC_AGE,A,2022,9.1
NLD,NEET,15_19_MEN,PC_AGE,A,2022,1.8
NZL,NEET,15_19_MEN,PC_AGE,A,2022,9.2
NOR,NEET,15_19_MEN,PC_AGE,A,2022,3.1
POL,NEET,15_19_MEN,PC_AGE,A,2022,7.4
PRT,NEET,15_19_MEN,PC_AGE,A,2022,3.9
SVK,NEET,15_19_MEN,PC_AGE,A,2022,6.5
ESP,NEET,15_19_MEN,PC_AGE,A,2022,7.5
CHE,NEET,15_19_MEN,PC_AGE,A,2022,21.2
TUR,NEET,15_19_MEN,PC_AGE,A,2022,12.5
GBR,NEET,15_19_MEN,PC_AGE,A,2022,8.9
USA,NEET,15_19_MEN,PC_AGE,A,2022,9.3
BRA,NEET,15_19_MEN,PC_AGE,A,2022,10.5
COL,NEET,15_19_MEN,PC_AGE,A,2022,17.3
EST,NEET,15_19_MEN,PC_AGE,A,2022,8.8
ISR,NEET,15_19_MEN,PC_AGE,A,2022,9.4
LVA,NEET,15_19_MEN,PC_AGE,A,2022,2.3
LTU,NEET,15_19_MEN,PC_AGE,A,2022,8.6
SVN,NEET,15_19_MEN,PC_AGE,A,2022,13.2
ZAF,NEET,15_19_MEN,PC_AGE,A,2022,14.2
CRI,NEET,15_19_MEN,PC_AGE,A,2022,19.4
OAVG,NEET,15_19_MEN,PC_AGE,A,2022,8.1
BGR,NEET,15_19_MEN,PC_AGE,A,2022,7.0
ROU,NEET,15_19_MEN,PC_AGE,A,2022,11.6
