ITL level,ITL code,Region name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ITL1,TLC,North East,1064114,1084445,1097381,1121040,1140448,1139884,1143432,1139201,1124862,1110930,1103125,1113388,1113965,1137269,1114511,1129833,1150448,1135821,1135123
ITL1,TLD,North West,3161619,3196089,3249439,3240435,3241951,3281613,3295972,3271262,3285145,3270909,3275574,3318199,3400265,3422779,3464384,3513501,3576598,3652874,3621435
ITL1,TLE,Yorkshire and The Humber,2314970,2356445,2425821,2432450,2441889,2450847,2451675,2440091,2439874,2444914,2442034,2449993,2496450,2557665,2592494,2598834,2629973,2628340,2600519
ITL1,TLF,East Midlands,1945367,1969074,1990938,2062250,2074090,2119039,2102279,2057600,2084774,2121769,2122756,2127402,2154720,2198997,2232979,2261470,2260574,2295663,2279504
ITL1,TLG,West Midlands,2505542,2529060,2535433,2558604,2595481,2587044,2598364,2524749,2514076,2522792,2570125,2605215,2639186,2700526,2732955,2776723,2828621,2847443,2819585
ITL1,TLH,East of England,2598948,2622787,2654409,2643360,2717056,2742177,2755160,2711751,2710938,2725923,2772728,2793711,2883912,2940673,2974319,3034487,3078241,3075188,3107759
ITL1,TLI,London,4420216,4430803,4410510,4475031,4522958,4579020,4721618,4657392,4645076,4733642,4922872,5064080,5258183,5354502,5474418,5578900,5675208,5748808,5668466
ITL1,TLJ,South East,4149855,4142080,4144606,4167264,4182046,4243451,4279470,4207978,4265059,4305700,4368069,4383355,4487994,4581725,4687368,4636859,4634687,4747595,4640244
ITL1,TLK,South West,2442986,2467256,2510412,2524167,2545957,2583896,2605789,2602327,2623865,2639434,2619596,2664668,2740318,2769048,2778838,2801036,2857921,2883467,2863779
