NUTS18CD,NUTS18NM,Hours Growth (%),Real GVA Growth (%)
UKC11,Hartlepool and Stockton-on-Tees,5.00,0.03
UKC12,South Teesside,2.32,1.68
UKC13,Darlington,-13.02,7.11
UKC14,Durham CC,4.97,-1.82
UKC21,Northumberland,-6.64,-2.74
UKC22,Tyneside,8.64,5.99
UKC23,Sunderland,8.00,18.26
UKD11,West Cumbria,-3.12,-0.73
UKD12,East Cumbria,-4.15,6.81
UKD33,Manchester,26.25,21.64
UKD34,Greater Manchester South West,16.71,24.82
UKD35,Greater Manchester South East,7.82,6.08
UKD36,Greater Manchester North West,11.96,12.99
UKD37,Greater Manchester North East,13.75,5.78
UKD41,Blackburn with Darwen,16.65,24.14
UKD42,Blackpool,14.05,18.04
UKD44,Lancaster and Wyre,1.46,4.07
UKD45,Mid Lancashire,0.48,15.29
UKD46,East Lancashire,12.72,19.28
UKD47,Chorley and West Lancashire,7.29,18.76
UKD61,Warrington,16.23,20.48
UKD62,Cheshire East,15.87,30.40
UKD63,Cheshire West and Chester,15.49,7.64
UKD71,East Merseyside,12.06,11.58
UKD72,Liverpool,12.46,1.48
UKD73,Sefton,-4.38,1.31
UKD74,Wirral,4.74,4.21
UKE11,"Kingston upon Hull, City of",11.37,-3.32
UKE12,East Riding of Yorkshire,12.27,13.89
UKE13,North and North East Lincolnshire,7.99,1.15
UKE21,York,5.67,10.30
UKE22,North Yorkshire CC,12.92,14.39
UKE31,"Barnsley, Doncaster and Rotherham",14.94,22.93
UKE32,Sheffield,8.81,5.62
UKE41,Bradford,12.71,7.83
UKE42,Leeds,15.68,12.84
UKE44,Calderdale and Kirklees,6.72,15.98
UKE45,Wakefield,14.06,13.13
UKF11,Derby,19.97,5.05
UKF12,East Derbyshire,5.80,18.60
UKF13,South and West Derbyshire,12.33,8.78
UKF14,Nottingham,2.61,16.26
UKF15,North Nottinghamshire,10.39,13.43
UKF16,South Nottinghamshire,7.10,13.31
UKF21,Leicester,5.60,14.70
UKF22,Leicestershire CC and Rutland,15.62,12.02
UKF24,West Northamptonshire,2.52,21.19
UKF25,North Northamptonshire,20.12,19.43
UKF30,Lincolnshire,5.12,12.92
UKG11,"Herefordshire, County of",15.67,15.66
UKG12,Worcestershire,14.89,16.86
UKG13,Warwickshire,16.79,40.48
UKG21,Telford and Wrekin,12.40,23.53
UKG22,Shropshire CC,10.22,12.69
UKG23,Stoke-on-Trent,12.54,15.19
UKG24,Staffordshire CC,12.98,12.20
UKG31,Birmingham,15.31,20.29
UKG32,Solihull,28.34,50.25
UKG33,Coventry,14.52,23.50
UKG36,Dudley,3.59,14.22
UKG37,Sandwell,10.29,20.86
UKG38,Walsall,14.56,16.15
UKG39,Wolverhampton,-9.08,-7.47
UKH11,Peterborough,20.66,22.27
UKH12,Cambridgeshire CC,14.53,23.46
UKH14,Suffolk,11.37,9.24
UKH15,Norwich and East Norfolk,3.77,16.27
UKH16,North and West Norfolk,-0.60,9.40
UKH17,Breckland and South Norfolk,13.23,10.25
UKH21,Luton,15.31,25.51
UKH23,Hertfordshire,27.61,26.87
UKH24,Bedford,19.78,15.92
UKH25,Central Bedfordshire,28.22,32.90
UKH31,Southend-on-Sea,13.84,4.89
UKH32,Thurrock,23.47,15.52
UKH34,Essex Haven Gateway,19.24,19.84
UKH35,West Essex,27.14,17.37
UKH36,Heart of Essex,7.40,17.40
UKH37,Essex Thames Gateway,13.71,14.17
UKI31,Camden and City of London,47.93,37.76
UKI32,Westminster,15.60,33.16
UKI33,Kensington & Chelsea and Hammersmith & Fulham,10.19,42.23
UKI34,Wandsworth,14.88,22.56
UKI41,Hackney and Newham,53.51,36.55
UKI42,Tower Hamlets,39.87,24.05
UKI43,Haringey and Islington,29.85,16.65
UKI44,Lewisham and Southwark,44.12,24.39
UKI45,Lambeth,13.90,18.15
UKI51,Bexley and Greenwich,20.25,13.19
UKI52,Barking & Dagenham and Havering,29.07,6.81
UKI53,Redbridge and Waltham Forest,24.32,15.25
