sector,monthly_pct_change,quarterly_pct_change,yearly_pct_change
Food & non-alcoholic beverages,0.15,0.0,4.0
Transport,0.68,-1.41,0.15
"Housing, water, electricity, gas & other fuels",0.21,2.48,-1.61
Recreation & culture,0.94,1.34,5.32
