geography_code,value,notes
E14000530,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000531,27.8,Normal Value
E14000532,20.9,Normal Value
E14000533,17.7,Normal Value
E14000534,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000535,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000536,25.5,Normal Value
E14000537,20.6,Normal Value
E14000538,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000539,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000540,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000541,16.3,Normal Value
E14000542,24.4,Normal Value
E14000543,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000544,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000545,24.1,Normal Value
E14000546,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000547,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000548,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000549,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000550,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000551,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000552,43.8,Normal Value
E14000553,60.9,Normal Value
E14000554,29.3,Normal Value
E14000555,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000556,16.4,Normal Value
E14000557,44.0,Normal Value
E14000558,36.8,Normal Value
E14000559,34.2,Normal Value
E14000560,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000561,73.4,Normal Value
E14000562,42.2,Normal Value
E14000563,47.9,Normal Value
E14000564,28.1,Normal Value
E14000565,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000566,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000567,13.9,Normal Value
E14000568,19.4,Normal Value
E14000569,28.2,Normal Value
E14000570,12.7,Normal Value
E14000571,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000572,24.4,Normal Value
E14000573,9.7,Normal Value
E14000574,17.2,Normal Value
E14000575,28.4,Normal Value
E14000576,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000577,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000578,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000579,30.8,Normal Value
E14000580,23.4,Normal Value
E14000581,18.2,Normal Value
E14000582,47.2,Normal Value
E14000583,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000584,16.6,Normal Value
E14000585,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000586,20.3,Normal Value
E14000587,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000588,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000589,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000590,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000591,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000592,27.6,Normal Value
E14000593,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000594,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000595,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000596,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000597,32.0,Normal Value
E14000598,17.5,Normal Value
E14000599,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
