geography_code,value,notes
E14000530,35.9,Normal Value
E14000531,38.9,Normal Value
E14000532,35.9,Normal Value
E14000533,35.2,Normal Value
E14000534,34.6,Normal Value
E14000535,47.8,Normal Value
E14000536,37.1,Normal Value
E14000537,41.0,Normal Value
E14000538,33.6,Normal Value
E14000539,33.4,Normal Value
E14000540,34.6,Normal Value
E14000541,43.5,Normal Value
E14000542,36.9,Normal Value
E14000543,40.7,Normal Value
E14000544,27.0,Normal Value
E14000545,29.4,Normal Value
E14000546,47.4,Normal Value
E14000547,37.6,Normal Value
E14000548,40.7,Normal Value
E14000549,16.2,Normal Value
E14000550,39.2,Normal Value
E14000551,37.0,Normal Value
E14000552,30.4,Normal Value
E14000553,30.3,Normal Value
E14000554,48.1,Normal Value
E14000555,31.3,Normal Value
E14000556,43.7,Normal Value
E14000557,44.4,Normal Value
E14000558,30.0,Normal Value
E14000559,44.9,Normal Value
E14000560,35.2,Normal Value
E14000561,34.9,Normal Value
E14000562,40.4,Normal Value
E14000563,41.6,Normal Value
E14000564,27.2,Normal Value
E14000565,29.7,Normal Value
E14000566,33.0,Normal Value
E14000567,38.0,Normal Value
E14000568,43.4,Normal Value
E14000569,46.2,Normal Value
E14000570,48.2,Normal Value
E14000571,42.2,Normal Value
E14000572,48.0,Normal Value
E14000573,42.2,Normal Value
E14000574,43.5,Normal Value
E14000575,39.3,Normal Value
E14000576,36.0,Normal Value
E14000577,38.7,Normal Value
E14000578,43.6,Normal Value
E14000579,42.1,Normal Value
E14000580,40.2,Normal Value
E14000581,36.2,Normal Value
E14000582,45.2,Normal Value
E14000583,32.6,Normal Value
E14000584,34.0,Normal Value
E14000585,32.1,Normal Value
E14000586,33.6,Normal Value
E14000587,31.0,Normal Value
E14000588,34.7,Normal Value
E14000589,43.1,Normal Value
E14000590,33.1,Normal Value
E14000591,42.6,Normal Value
E14000592,44.6,Normal Value
E14000593,31.1,Normal Value
E14000594,34.3,Normal Value
E14000595,37.4,Normal Value
E14000596,35.0,Normal Value
E14000597,41.2,Normal Value
E14000598,28.5,Normal Value
E14000599,29.2,Normal Value
E14000600,34.2,Normal Value
E14000601,26.2,Normal Value
E14000602,26.1,Normal Value
E14000603,37.3,Normal Value
E14000604,37.2,Normal Value
E14000605,31.6,Normal Value
E14000606,41.7,Normal Value
E14000607,43.7,Normal Value
E14000608,35.0,Normal Value
E14000609,37.9,Normal Value
E14000610,32.9,Normal Value
E14000611,39.3,Normal Value
E14000612,28.8,Normal Value
E14000613,41.1,Normal Value
E14000614,39.0,Normal Value
E14000615,26.9,Normal Value
E14000616,36.7,Normal Value
E14000617,27.4,Normal Value
E14000618,27.8,Normal Value
E14000619,45.6,Normal Value
E14000620,39.3,Normal Value
E14000621,27.8,Normal Value
E14000622,42.6,Normal Value
E14000623,36.2,Normal Value
E14000624,35.5,Normal Value
E14000625,28.4,Normal Value
E14000626,33.9,Normal Value
E14000627,35.2,Normal Value
E14000628,34.6,Normal Value
E14000629,33.4,Normal Value
E14000630,31.8,Normal Value
E14000631,36.7,Normal Value
E14000632,41.3,Normal Value
E14000633,54.2,Normal Value
E14000634,31.8,Normal Value
E14000635,33.6,Normal Value
E14000636,33.1,Normal Value
E14000637,42.1,Normal Value
E14000638,44.6,Normal Value
E14000639,31.8,Normal Value
E14000640,35.3,Normal Value
E14000641,36.6,Normal Value
E14000642,56.5,Normal Value
E14000643,40.8,Normal Value
E14000644,37.8,Normal Value
E14000645,43.7,Normal Value
E14000646,35.7,Normal Value
E14000647,38.6,Normal Value
E14000648,37.3,Normal Value
E14000649,37.4,Normal Value
E14000650,25.8,Normal Value
