geography_code,value,notes
E14000530,6.8,Normal Value
E14000531,3.5,Normal Value
E14000532,3.0,Normal Value
E14000533,3.6,Normal Value
E14000534,3.6,Normal Value
E14000535,4.3,Normal Value
E14000536,6.0,Normal Value
E14000537,5.4,Normal Value
E14000538,3.7,Normal Value
E14000539,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000540,4.8,Normal Value
E14000541,3.3,Normal Value
E14000542,4.6,Normal Value
E14000543,2.5,Normal Value
E14000544,2.6,Normal Value
E14000545,2.6,Normal Value
E14000546,4.2,Normal Value
E14000547,7.0,Normal Value
E14000548,6.6,Normal Value
E14000549,4.2,Normal Value
E14000550,6.0,Normal Value
E14000551,2.5,Normal Value
E14000552,4.2,Normal Value
E14000553,4.6,Normal Value
E14000554,5.1,Normal Value
E14000555,5.3,Normal Value
E14000556,3.4,Normal Value
E14000557,5.5,Normal Value
E14000558,4.1,Normal Value
E14000559,8.5,Normal Value
E14000560,4.7,Normal Value
E14000561,15.8,Normal Value
E14000562,10.8,Normal Value
E14000563,10.2,Normal Value
E14000564,10.4,Normal Value
E14000565,11.0,Normal Value
E14000566,6.4,Normal Value
E14000567,3.1,Normal Value
E14000568,8.3,Normal Value
E14000569,5.7,Normal Value
E14000570,4.3,Normal Value
E14000571,4.1,Normal Value
E14000572,5.3,Normal Value
E14000573,3.8,Normal Value
E14000574,2.4,Normal Value
E14000575,2.8,Normal Value
E14000576,4.9,Normal Value
E14000577,6.9,Normal Value
E14000578,3.9,Normal Value
E14000579,5.7,Normal Value
E14000580,4.9,Normal Value
E14000581,5.0,Normal Value
E14000582,4.4,Normal Value
E14000583,2.7,Normal Value
E14000584,4.9,Normal Value
E14000585,2.4,Normal Value
E14000586,4.8,Normal Value
E14000587,6.4,Normal Value
E14000588,8.8,Normal Value
E14000589,8.7,Normal Value
E14000590,5.6,Normal Value
E14000591,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000592,4.8,Normal Value
E14000593,4.0,Normal Value
E14000594,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000595,6.6,Normal Value
E14000596,5.1,Normal Value
E14000597,2.8,Normal Value
E14000598,6.1,Normal Value
E14000599,4.1,Normal Value
E14000600,1.8,Normal Value
E14000601,2.1,Normal Value
E14000602,4.6,Normal Value
E14000603,4.2,Normal Value
E14000604,5.1,Normal Value
E14000605,4.4,Normal Value
E14000606,3.8,Normal Value
E14000607,3.7,Normal Value
E14000608,1.6,Normal Value
E14000609,6.0,Normal Value
E14000610,3.5,Normal Value
E14000611,1.7,Normal Value
E14000612,3.2,Normal Value
E14000613,3.5,Normal Value
E14000614,3.4,Normal Value
E14000615,6.4,Normal Value
E14000616,2.4,Normal Value
E14000617,4.1,Normal Value
E14000618,4.1,Normal Value
E14000619,4.9,Normal Value
E14000620,4.2,Normal Value
E14000621,4.6,Normal Value
E14000622,5.3,Normal Value
E14000623,6.1,Normal Value
E14000624,3.9,Normal Value
E14000625,3.4,Normal Value
E14000626,2.4,Normal Value
E14000627,3.4,Normal Value
E14000628,4.2,Normal Value
E14000629,3.5,Normal Value
E14000630,3.5,Normal Value
E14000631,1.8,Normal Value
E14000632,2.7,Normal Value
E14000633,3.6,Normal Value
E14000634,8.6,Normal Value
E14000635,2.8,Normal Value
E14000636,10.5,Normal Value
E14000637,5.7,Normal Value
E14000638,5.4,Normal Value
E14000639,2.3,Normal Value
E14000640,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000641,4.1,Normal Value
E14000642,9.7,Normal Value
E14000643,0.7,Normal Value
E14000644,3.7,Normal Value
E14000645,3.2,Normal Value
E14000646,5.8,Normal Value
E14000647,6.2,Normal Value
E14000648,3.2,Normal Value
E14000649,4.3,Normal Value
E14000650,1.4,Normal Value
E14000651,10.4,Normal Value
E14000652,2.8,Normal Value
E14000653,5.3,Normal Value
E14000654,6.2,Normal Value
E14000655,3.5,Normal Value
E14000656,3.3,Normal Value
E14000657,2.2,Normal Value
E14000658,2.7,Normal Value
E14000659,4.2,Normal Value
E14000660,6.1,Normal Value
E14000661,3.4,Normal Value
E14000662,4.6,Normal Value
E14000663,2.8,Normal Value
E14000664,4.7,Normal Value
E14000665,2.6,Normal Value
E14000666,7.6,Normal Value
E14000667,2.9,Normal Value
E14000668,5.4,Normal Value
E14000669,5.8,Normal Value
E14000670,1.9,Normal Value
E14000671,6.2,Normal Value
E14000672,5.3,Normal Value
E14000673,2.6,Normal Value
E14000674,5.5,Normal Value
E14000675,10.2,Normal Value
E14000676,7.8,Normal Value
E14000677,4.4,Normal Value
E14000678,3.0,Normal Value
E14000679,9.4,Normal Value
E14000680,5.2,Normal Value
E14000681,3.5,Normal Value
E14000682,3.0,Normal Value
E14000683,2.5,Normal Value
E14000684,4.2,Normal Value
E14000685,2.6,Normal Value
E14000686,3.1,Normal Value
E14000687,7.6,Normal Value
E14000688,9.1,Normal Value
E14000689,4.8,Normal Value
E14000690,3.9,Normal Value
E14000691,6.5,Normal Value
E14000692,9.5,Normal Value
E14000693,3.7,Normal Value
E14000694,7.1,Normal Value
E14000695,6.7,Normal Value
E14000696,4.4,Normal Value
E14000697,2.5,Normal Value
E14000698,4.4,Normal Value
E14000699,4.8,Normal Value
E14000700,6.1,Normal Value
E14000701,6.6,Normal Value
E14000702,2.3,Normal Value
E14000703,4.2,Normal Value
E14000704,7.1,Normal Value
E14000705,4.8,Normal Value
E14000706,2.6,Normal Value
E14000707,1.2,Normal Value
E14000708,4.3,Normal Value
E14000709,5.8,Normal Value
E14000710,5.1,Normal Value
E14000711,4.5,Normal Value
E14000712,3.1,Normal Value
E14000713,3.1,Normal Value
E14000714,5.2,Normal Value
E14000715,7.4,Normal Value
E14000716,2.6,Normal Value
E14000717,10.2,Normal Value
E14000718,2.3,Normal Value
E14000719,3.6,Normal Value
E14000720,7.6,Normal Value
E14000721,8.6,Normal Value
E14000722,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000723,5.8,Normal Value
E14000724,2.9,Normal Value
E14000725,1.7,Normal Value
E14000726,1.3,Normal Value
E14000727,11.4,Normal Value
E14000728,4.4,Normal Value
E14000729,12.9,Normal Value
E14000730,1.9,Normal Value
E14000731,6.2,Normal Value
E14000732,8.4,Normal Value
E14000733,5.0,Normal Value
E14000734,4.6,Normal Value
E14000735,5.3,Normal Value
E14000736,6.0,Normal Value
E14000737,6.4,Normal Value
E14000738,4.9,Normal Value
E14000739,2.6,Normal Value
E14000740,4.9,Normal Value
E14000741,7.9,Normal Value
E14000742,3.6,Normal Value
E14000743,1.7,Normal Value
E14000744,2.9,Normal Value
E14000745,5.2,Normal Value
E14000746,3.1,Normal Value
E14000747,2.2,Normal Value
E14000748,6.0,Normal Value
E14000749,3.4,Normal Value
E14000750,4.5,Normal Value
E14000751,2.3,Normal Value
E14000752,2.9,Normal Value
E14000753,3.3,Normal Value
E14000754,3.7,Normal Value
E14000755,4.7,Normal Value
E14000756,5.0,Normal Value
E14000757,2.0,Normal Value
E14000758,9.8,Normal Value
E14000759,3.6,Normal Value
E14000760,5.1,Normal Value
E14000761,4.2,Normal Value
E14000762,5.4,Normal Value
E14000763,2.7,Normal Value
E14000764,3.7,Normal Value
E14000765,9.0,Normal Value
E14000766,5.9,Normal Value
E14000767,4.2,Normal Value
E14000768,3.8,Normal Value
E14000769,4.9,Normal Value
E14000770,2.1,Normal Value
E14000771,2.7,Normal Value
E14000772,8.6,Normal Value
E14000773,3.8,Normal Value
E14000774,2.7,Normal Value
E14000775,3.9,Normal Value
E14000776,7.3,Normal Value
E14000777,4.4,Normal Value
E14000778,8.2,Normal Value
E14000779,3.6,Normal Value
E14000780,9.3,Normal Value
E14000781,5.2,Normal Value
E14000782,8.8,Normal Value
E14000783,3.7,Normal Value
E14000784,6.9,Normal Value
E14000785,6.0,Normal Value
E14000786,8.4,Normal Value
E14000787,11.0,Normal Value
E14000788,4.7,Normal Value
E14000789,3.5,Normal Value
E14000790,4.7,Normal Value
E14000791,5.8,Normal Value
E14000792,4.4,Normal Value
E14000793,8.8,Normal Value
E14000794,7.2,Normal Value
E14000795,3.2,Normal Value
E14000796,4.5,Normal Value
E14000797,4.2,Normal Value
E14000798,6.9,Normal Value
E14000799,4.1,Normal Value
E14000800,4.6,Normal Value
E14000801,4.5,Normal Value
E14000802,7.1,Normal Value
E14000803,3.7,Normal Value
E14000804,8.0,Normal Value
E14000805,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000806,3.7,Normal Value
E14000807,7.2,Normal Value
E14000808,5.4,Normal Value
E14000809,3.8,Normal Value
E14000810,4.7,Normal Value
E14000811,2.7,Normal Value
E14000812,4.7,Normal Value
E14000813,2.8,Normal Value
E14000814,2.5,Normal Value
E14000815,1.1,Normal Value
E14000816,2.9,Normal Value
E14000817,4.4,Normal Value
E14000818,4.8,Normal Value
E14000819,5.8,Normal Value
E14000820,3.7,Normal Value
E14000821,2.9,Normal Value
E14000822,2.4,Normal Value
E14000823,3.1,Normal Value
E14000824,2.1,Normal Value
E14000825,4.2,Normal Value
E14000826,3.3,Normal Value
