geography_code,value,notes
E14000554,0.0,These figures are suppressed as statistically unreliable
E14000569,0.0,These figures are suppressed as statistically unreliable
E14000574,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000575,0.0,These figures are suppressed as statistically unreliable
E14000641,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000658,0.0,These figures are suppressed as statistically unreliable
E14000677,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000709,0.0,These figures are suppressed as statistically unreliable
E14000733,5.1,Normal Value
E14000746,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000754,0.0,These figures are suppressed as statistically unreliable
E14000765,9.2,Normal Value
E14000819,0.0,These figures are suppressed as statistically unreliable
E14000820,0.0,These figures are suppressed as statistically unreliable
E14000831,0.0,These figures are suppressed as statistically unreliable
E14000832,0.0,These figures are suppressed as statistically unreliable
E14000833,0.0,These figures are suppressed as statistically unreliable
E14000840,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000853,0.0,These figures are suppressed as statistically unreliable
E14000856,0.0,These figures are suppressed as statistically unreliable
E14000891,0.0,These figures are suppressed as statistically unreliable
E14000915,0.0,These figures are suppressed as statistically unreliable
E14000944,13.9,Normal Value
E14000970,0.0,These figures are suppressed as statistically unreliable
E14000971,0.0,These figures are suppressed as statistically unreliable
E14000982,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14001006,0.0,These figures are suppressed as statistically unreliable
E14001014,0.0,These figures are suppressed as statistically unreliable
E14001020,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000532,0.0,These figures are suppressed as statistically unreliable
E14000537,0.0,These figures are suppressed as statistically unreliable
E14000543,0.0,These figures are suppressed as statistically unreliable
E14000559,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000570,0.0,These figures are suppressed as statistically unreliable
E14000571,0.0,These figures are suppressed as statistically unreliable
E14000572,0.0,These figures are suppressed as statistically unreliable
E14000573,0.0,These figures are suppressed as statistically unreliable
E14000578,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000579,0.0,These figures are suppressed as statistically unreliable
E14000580,0.0,These figures are suppressed as statistically unreliable
E14000581,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000609,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000611,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
