geography_code,value,notes
E14000554,0.0,These figures are suppressed as statistically unreliable
E14000569,45.2,Normal Value
E14000574,0.0,These figures are suppressed as statistically unreliable
E14000575,0.0,These figures are suppressed as statistically unreliable
E14000641,0.0,These figures are suppressed as statistically unreliable
E14000658,69.9,Normal Value
E14000677,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000709,0.0,These figures are suppressed as statistically unreliable
E14000733,59.1,Normal Value
E14000746,0.0,These figures are suppressed as statistically unreliable
E14000754,52.4,Normal Value
E14000765,40.4,Normal Value
E14000819,38.5,Normal Value
E14000820,61.4,Normal Value
E14000831,0.0,These figures are suppressed as statistically unreliable
E14000832,47.0,Normal Value
E14000833,0.0,These figures are suppressed as statistically unreliable
E14000840,0.0,These figures are suppressed as statistically unreliable
E14000853,69.2,Normal Value
E14000856,50.3,Normal Value
E14000891,54.9,Normal Value
E14000915,59.9,Normal Value
E14000944,40.5,Normal Value
E14000970,54.9,Normal Value
E14000971,56.1,Normal Value
E14000982,0.0,These figures are suppressed as statistically unreliable
E14001006,52.1,Normal Value
E14001014,0.0,These figures are suppressed as statistically unreliable
E14001020,62.5,Normal Value
E14000532,44.5,Normal Value
E14000537,56.7,Normal Value
E14000543,62.7,Normal Value
E14000559,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000570,35.8,Normal Value
E14000571,0.0,These figures are suppressed as statistically unreliable
E14000572,0.0,These figures are suppressed as statistically unreliable
E14000573,74.2,Normal Value
E14000578,0.0,These figures are suppressed as statistically unreliable
E14000579,0.0,These figures are suppressed as statistically unreliable
E14000580,64.2,Normal Value
E14000581,51.8,Normal Value
E14000609,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000611,81.3,Normal Value
E14000612,69.0,Normal Value
E14000620,0.0,These figures are suppressed as statistically unreliable
E14000627,70.6,Normal Value
E14000637,0.0,These figures are suppressed as statistically unreliable
E14000640,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000646,74.9,Normal Value
E14000647,0.0,These figures are suppressed as statistically unreliable
E14000653,0.0,These figures are suppressed as statistically unreliable
E14000661,71.5,Normal Value
E14000686,0.0,These figures are suppressed as statistically unreliable
E14000688,0.0,These figures are suppressed as statistically unreliable
E14000706,0.0,These figures are suppressed as statistically unreliable
E14000708,0.0,These figures are suppressed as statistically unreliable
E14000725,63.7,Normal Value
E14000738,0.0,These figures are suppressed as statistically unreliable
E14000747,0.0,These figures are suppressed as statistically unreliable
E14000758,0.0,These figures are suppressed as statistically unreliable
E14000775,65.5,Normal Value
E14000776,0.0,These figures are suppressed as statistically unreliable
E14000785,0.0,These figures are suppressed as statistically unreliable
E14000793,0.0,These figures are suppressed as statistically unreliable
E14000794,0.0,These figures are suppressed as statistically unreliable
E14000795,0.0,These figures are suppressed as statistically unreliable
E14000796,0.0,These figures are suppressed as statistically unreliable
E14000802,0.0,These figures are suppressed as statistically unreliable
E14000805,0.0,These figures are suppressed as statistically unreliable
E14000807,0.0,These figures are suppressed as statistically unreliable
E14000808,0.0,These figures are suppressed as statistically unreliable
E14000809,59.7,Normal Value
E14000825,0.0,These figures are suppressed as statistically unreliable
E14000870,0.0,These figures are suppressed as statistically unreliable
E14000871,0.0,These figures are suppressed as statistically unreliable
E14000875,0.0,These figures are suppressed as statistically unreliable
E14000877,0.0,These figures are suppressed as statistically unreliable
E14000885,0.0,These figures are suppressed as statistically unreliable
E14000894,0.0,These figures are suppressed as statistically unreliable
E14000897,0.0,These figures are suppressed as statistically unreliable
E14000902,0.0,These figures are suppressed as statistically unreliable
E14000911,0.0,These figures are suppressed as statistically unreliable
E14000916,0.0,These figures are suppressed as statistically unreliable
E14000943,0.0,These figures are suppressed as statistically unreliable
E14000958,0.0,These figures are suppressed as statistically unreliable
E14000962,0.0,These figures are suppressed as statistically unreliable
E14000963,54.2,Normal Value
E14000967,53.5,Normal Value
E14000969,0.0,These figures are suppressed as statistically unreliable
E14000979,0.0,These figures are suppressed as statistically unreliable
E14000987,0.0,These figures are suppressed as statistically unreliable
E14001010,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14001017,59.1,Normal Value
E14001018,44.9,Normal Value
E14001024,0.0,These figures are suppressed as statistically unreliable
E14001033,0.0,These figures are suppressed as statistically unreliable
E14001037,0.0,These figures are suppressed as statistically unreliable
E14001039,66.8,Normal Value
E14001043,0.0,These figures are suppressed as statistically unreliable
E14001044,0.0,These figures are suppressed as statistically unreliable
E14001053,0.0,These figures are suppressed as statistically unreliable
E14001054,0.0,These figures are suppressed as statistically unreliable
E14001057,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14001059,61.3,Normal Value
E14000541,0.0,These figures are suppressed as statistically unreliable
E14000542,49.3,Normal Value
E14000548,56.2,Normal Value
E14000556,51.1,Normal Value
E14000587,0.0,These figures are suppressed as statistically unreliable
E14000588,0.0,These figures are suppressed as statistically unreliable
E14000589,0.0,These figures are suppressed as statistically unreliable
E14000596,61.9,Normal Value
E14000614,40.6,Normal Value
E14000643,60.2,Normal Value
E14000645,58.7,Normal Value
E14000666,0.0,These figures are suppressed as statistically unreliable
E14000667,72.7,Normal Value
E14000668,0.0,These figures are suppressed as statistically unreliable
E14000669,0.0,These figures are suppressed as statistically unreliable
E14000683,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000689,58.5,Normal Value
E14000716,53.8,Normal Value
E14000723,0.0,These figures are suppressed as statistically unreliable
E14000724,0.0,These figures are suppressed as statistically unreliable
E14000730,0.0,These figures are suppressed as statistically unreliable
E14000740,63.5,Normal Value
E14000756,0.0,These figures are suppressed as statistically unreliable
E14000766,0.0,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
E14000771,0.0,These figures are suppressed as statistically unreliable
E14000772,0.0,These figures are suppressed as statistically unreliable
E14000773,0.0,These figures are suppressed as statistically unreliable
E14000777,0.0,These figures are suppressed as statistically unreliable
E14000778,0.0,These figures are suppressed as statistically unreliable
E14000779,49.2,Normal Value
E14000780,0.0,These figures are suppressed as statistically unreliable
E14000781,0.0,These figures are suppressed as statistically unreliable
