geography_code,Claimants percentage
E14000530,2.191107310816588
E14000531,2.0355755981460604
E14000532,1.5168846670313825
E14000533,2.038769182668508
E14000534,1.2472916788663115
E14000535,2.7533290769792047
E14000536,2.4348367404313427
E14000537,4.485054275172451
E14000538,2.2800750379180967
E14000539,1.875142243639854
E14000540,6.565972154419949
E14000541,2.817700703435351
E14000542,2.548091189410262
E14000543,1.9118591085433587
E14000544,2.8210604023306702
E14000545,2.54466761638592
E14000546,2.7940169885209665
E14000547,1.4393983902238412
E14000548,3.3216941773988755
E14000549,2.8632677974176004
E14000550,1.5890922765263171
E14000551,1.7905342205831265
E14000552,4.503760994128605
E14000553,4.081213786134925
E14000554,1.4402449932535892
E14000555,5.162852702905239
E14000556,1.4615575016796123
E14000557,1.77601337233598
E14000558,2.4871026902930424
E14000559,4.135193251364614
E14000560,5.49476107964787
E14000561,8.16400580551524
E14000562,7.720304400573507
E14000563,9.299853131370702
E14000564,10.544926172918313
E14000565,5.731413665094813
E14000566,9.143210568081034
E14000567,4.49821622460059
E14000568,7.125709040412362
E14000569,2.4692184154175587
E14000570,4.804704307501076
E14000571,6.714887423644343
E14000572,3.32705861751959
E14000573,5.017455422139424
E14000574,2.2199007573779057
E14000575,3.0665243685521166
E14000576,2.506572790873847
E14000577,2.344686975293836
E14000578,4.957262773256334
E14000579,5.267521826074233
E14000580,2.541368899759239
E14000581,4.500354799755998
E14000582,3.105068815038604
E14000583,1.7786290874264603
E14000584,2.96927893891604
E14000585,2.8568221361620925
E14000586,1.6725567335689355
E14000587,7.262027196891783
E14000588,5.460276488545829
E14000589,7.994403917257919
E14000590,2.014049817400905
E14000591,7.405264430550278
E14000592,4.510710578465604
E14000593,4.154316413486477
E14000594,1.8446687808760915
E14000595,1.8261043458125903
E14000596,1.9692792437967703
E14000597,3.3807286263501557
E14000598,2.974860902408317
E14000599,3.002892582242487
E14000600,2.530622913424182
E14000601,3.194728420304027
E14000602,3.098799868170382
E14000603,1.260824055571415
E14000604,2.725240827636687
E14000605,1.714794834867088
E14000606,2.4579465472865003
E14000607,1.7296225068640612
E14000608,1.3926157399544852
E14000609,4.553256074554249
E14000610,2.867688813174333
E14000611,3.400842245248518
E14000612,3.019179935607532
E14000613,1.5546387603139469
E14000614,2.0863034180604334
E14000615,5.552719532280901
E14000616,2.1277955271565494
E14000617,2.0382499345035368
E14000618,2.4898008159347254
E14000619,2.2359238430787998
E14000620,2.098207370481461
E14000621,2.790267939636588
E14000622,1.58050576184379
E14000623,1.2073477540803297
E14000624,1.3524207741280134
E14000625,1.3679890560875512
E14000626,3.011485956768999
E14000627,1.423940575088258
E14000628,2.1287625602505984
E14000629,2.4731793723471807
E14000630,2.080050060257717
E14000631,1.6182926030269278
E14000632,2.671415850400712
E14000633,2.0420163575132304
E14000634,3.49683016349683
E14000635,1.5375531993406972
E14000636,2.834586150422038
E14000637,1.8133420125771544
E14000638,1.1621917880584791
E14000639,2.197938144329897
E14000640,2.107852833547621
E14000641,1.5156489384985772
E14000642,2.7862605381985226
E14000643,1.919053181520609
E14000644,2.7056491575817643
E14000645,2.3485540167423853
E14000646,1.3871498367336916
E14000647,1.6375629390428674
E14000648,2.505250525052505
E14000649,5.398402072986396
E14000650,3.538639134328036
E14000651,3.3309189759547886
E14000652,3.422896261671562
E14000653,2.397791392148883
E14000654,5.037256889650632
E14000655,6.425999771128775
E14000656,2.985937198998266
E14000657,5.20657008440247
E14000658,3.471432584645432
E14000659,2.425200576455658
E14000660,1.72303538439676
E14000661,3.069485205506642
E14000662,3.192071502401654
E14000663,5.472620163341812
E14000664,1.1977084806418563
E14000665,1.4049273231688522
E14000666,3.148232019176599
E14000667,2.515199768384482
E14000668,4.396274531544518
E14000669,3.3747061351399177
E14000670,2.7644047744550257
E14000671,4.5106295873907065
E14000672,3.63008173391577
E14000673,4.794398358754794
E14000674,4.6849449744685545
E14000675,5.721918079282369
E14000676,5.562570612082142
E14000677,3.2123258131199712
E14000678,1.0759771629336845
E14000679,6.375635166661341
E14000680,1.4715598534446512
E14000681,1.6540077041937802
E14000682,1.8580499089432496
E14000683,1.8527653813943352
E14000684,2.855033761045615
E14000685,1.5939159195752457
E14000686,1.5854845925107233
E14000687,6.52956241444783
E14000688,2.226179875333927
E14000689,1.2903616647482887
E14000690,3.795357524012807
E14000691,4.892591390481687
