geography_code,Claimants percentage
E14000530,2.909997921430056
E14000531,3.9548850153801087
E14000532,2.2313564298297126
E14000533,3.5447989243368783
E14000534,1.8676627534685168
E14000535,5.167958656330749
E14000536,3.856152512998267
E14000537,6.7524457677584016
E14000538,3.466974842208196
E14000539,2.639584824624195
E14000540,6.613070539419088
E14000541,4.670714619336758
E14000542,4.786531690140845
E14000543,4.304342321812888
E14000544,4.727233210171701
E14000545,4.219796348958811
E14000546,4.363368730943119
E14000547,0.704526046114432
E14000548,5.649972880130175
E14000549,3.030859662013225
E14000550,2.284796838335186
E14000551,2.5090066906845085
E14000552,5.341783612494341
E14000553,3.2225579053373616
E14000554,2.560932532673967
E14000555,4.582551390040588
E14000556,3.0544819847899265
E14000557,3.642987249544627
E14000558,3.8737929485739953
E14000559,7.69734687192925
E14000560,4.680359011067672
E14000561,11.2589988280596
E14000562,7.9792112503821455
E14000563,8.911571821451238
E14000564,6.97757440041541
E14000565,8.80635152400073
E14000566,10.00612619971411
E14000567,3.321339606974813
E14000568,9.15818008645322
E14000569,5.090909090909091
E14000570,6.151537884471118
E14000571,7.40991499285338
E14000572,6.463146314631462
E14000573,7.954690085274279
E14000574,4.411764705882353
E14000575,6.420233463035019
E14000576,3.4545248612526898
E14000577,4.378762999452655
E14000578,7.367387033398821
E14000579,6.587228329277503
E14000580,4.425809457255999
E14000581,7.100957085520222
E14000582,5.435373410153278
E14000583,2.990033222591362
E14000584,2.818978228814294
E14000585,2.412822427758948
E14000586,2.4381267825926947
E14000587,9.659090909090908
E14000588,8.552452006186881
E14000589,8.426047120418847
E14000590,3.379126966541104
E14000591,6.839331763650633
E14000592,4.51965524490225
E14000593,4.971932638331997
E14000594,2.7787426189649183
E14000595,3.1798133141860703
E14000596,3.993390250619664
E14000597,3.3263638091617564
E14000598,2.333699403828051
E14000599,3.1454899875952504
E14000600,2.881739257313781
E14000601,4.832810867293626
E14000602,1.546405615469435
E14000603,2.467003823855927
E14000604,4.222766217870257
E14000605,3.354885933878248
E14000606,3.2850836669746437
E14000607,2.6993155307047143
E14000608,1.6850490196078431
E14000609,7.668891230535066
E14000610,4.466000768344218
E14000611,5.810608675641468
E14000612,4.7114252061248525
E14000613,2.6638759394919607
E14000614,4.2030748810972245
E14000615,6.662628709872805
E14000616,2.8525673105795213
E14000617,1.2293376706888075
E14000618,4.696338990287117
E14000619,2.0607117381310927
E14000620,2.696408873636475
E14000621,4.167111870926381
E14000622,3.077108724508266
E14000623,2.597757724911129
E14000624,2.479711451758341
E14000625,2.3913495529216053
E14000626,4.467495121700729
E14000627,2.3776748842447755
E14000628,3.2810271041369474
E14000629,2.226973098164974
E14000630,2.5524673851389674
E14000631,1.9884541372674795
E14000632,5.273136627562507
E14000633,2.571317679021929
E14000634,4.705181655747468
E14000635,3.0533399800598207
