quarter_index,quarter_start,age_16_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa
1,2020-01-01,3851649.22652344,2862601.8085277868,356280.09346911544,632767.3245265378,74.32145660656687,11.068442531181075,16.42847744724884
2,2020-04-01,3920242.1237057606,2827243.04680648,363877.2024724238,729121.8744268571,72.11909258640172,11.402804471396804,18.59889903273694
3,2020-07-01,3633944.556464196,2647124.6844869256,406804.8106851438,580015.061292127,72.84438833218083,13.320700799683094,15.961032213889297
4,2020-10-01,3686025.447371892,2687311.022011457,405141.90318132925,593572.5221791051,72.90538441419305,13.100988535050126,16.10332133225824
5,2021-01-01,3640296.971863999,2684594.1503852336,369831.9179670335,585870.9035117318,73.74656988522005,12.108065793405896,16.094041448814515
6,2021-04-01,3584583.919832529,2723441.782207856,320490.5321582058,540651.605466468,75.97651061089104,10.52883241344189,15.08268790905381
7,2021-07-01,3585777.65941347,2686769.435527865,302837.88780270366,596170.3360829011,74.92850061337444,10.129687783388473,16.62597050650423
8,2021-10-01,3602632.717581495,2689906.5902614435,294305.9126333415,618420.2146867099,74.66502419561718,9.862096360358224,17.16578577851437
9,2022-01-01,3633385.502015832,2752445.776479964,278632.5265804072,602307.1989554605,75.75430063649688,9.192521562345716,16.57702433780549
10,2022-04-01,3669306.559101528,2782289.556471545,268826.44819697307,618190.5544330091,75.82603174897497,8.810758023806411,16.847612606791305
11,2022-07-01,3638378.228082108,2751883.92752054,252957.02821685263,633537.272344716,75.63490530700365,8.418316707706635,17.412628171938888
12,2022-10-01,3729826.040227146,2728780.9270034684,320620.8842369558,680424.2289867217,73.16107769029585,10.51422226664628,18.242787241232403
