quarter_index,quarter_start,age_16_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa
1,1992-04-01,5255606.66000047,3742199.58477922,777216.9005041174,736190.1747171319,71.20395088278705,17.197284274086787,14.007710666784678
2,1992-07-01,5053183.946703611,3626733.5079151737,759866.481628504,666583.9571599335,71.77125444406259,17.322447532024686,13.191365368655775
3,1992-10-01,5100832.020117374,3611380.6800922863,800568.5285624438,688882.8114626444,70.79983551407335,18.14546112616172,13.50530283580663
4,1993-01-01,5053695.67981267,3547428.6538636256,824127.4392740502,682139.5866749941,70.19474219696427,18.85203853537961,13.497836630722478
5,1993-04-01,5003553.152166195,3500285.541002295,803079.1494601581,700188.4617037417,69.9559979589087,18.661656801711985,13.993824796297172
6,1993-07-01,4831194.028734303,3390692.961761313,757555.3789824907,682945.6879904986,70.18333235209809,18.262054649473004,14.136167662250148
7,1993-10-01,4779746.082557609,3336678.136613451,762273.1944964097,680794.7514477479,69.80869023126051,18.59678568786547,14.243324638773682
8,1994-01-01,4712638.510872943,3325759.1353853857,713804.7712688637,673074.6042186941,70.5710639106359,17.670342338019086,14.282330432639473
9,1994-04-01,4593453.653582367,3255883.1987844985,688804.9037820068,648765.5510158614,70.8809415382973,17.46158088731665,14.123698635990344
10,1994-07-01,4605069.169896802,3248066.179414918,678338.2475884634,678664.7428934202,70.5324080829758,17.27632138256753,14.737340914004744
11,1994-10-01,4503200.895772444,3210560.7628428675,628788.9129333709,663851.2199962055,71.29508181295903,16.37748488762599,14.741763367017931
12,1995-01-01,4443655.409002685,3178235.1880728155,616980.4152498539,648439.8056800156,71.52298942068788,16.25679486324029,14.592486275292632
13,1995-04-01,4356903.276046856,3131148.1009702277,600914.3408442693,624840.8342323594,71.86636706360873,16.101401040656487,14.34139788384964
