Title,Value,Note,Suffix
Unemployment rate,10.4,"Young people aged 16-24, not in full-time education, unemployed as at Jan-Mar 2023 (seasonally adjusted)",%
Economic inactivity rate,17.1,"Young people aged 16-24, not in full-time education, economically inactive as at Jan-Mar 2023 (seasonally adjusted)",%
Long-term unemployment rate 6 to 12 months,13.7,"Young people aged 16-24, unemployed between 6 and 12 months as at Jan-Mar 2023 (seasonally adjusted)",%
Long-term unemployment rate over 12 months,N/A,"Young people aged 16-24, unemployed over 12 months as at Jan-Mar 2023 (seasonally adjusted)",%
