Ethnicity,NEET Rate (%)
Black Caribbean,25
White Irish,20
White and Black African,16.4
White and Black Caribbean,15.4
Pakistani,13.9
Other Asian background,12.2
Other ethnic group,11.9
Black African,11.6
White British,10.9
Bangladeshi,10.6
Other White,8.7
Other Mixed,7.9
White and Asian,7.8
Indian,7.6
Chinese,6
Other Black background,5.7
