ITL121CD,Region,NEET Rate (%)
TLC,North East,15
TLH,East of England,13.1
TLG,West Midlands,12.5
TLI,London ,11.6
TLD,North West,11.2
TLF,East Midlands,10.3
TLE,Yorkshire & The Humber,9.7
TLJ,South East,9.7
TLK,South West,9.4
