date,Sector,key_youth_sectors,wanted_youth_sectors,Growth since pre-coronavirus January to March 2020 (%),Growth since previous quarter (%)
2023-06-01,"Accommodation & food
service",True,False,33.1,-9.3
2023-06-01,Health & social work,True,False,33.1,-4.9
