index,Period,Thousands
0,Jan to Mar 2004,624
1,Feb to Apr 2004,631
2,Mar to May 2004,636
3,Apr to Jun 2004,641
4,May to Jul 2004,652
5,Jun to Aug 2004,654
6,Jul to Sep 2004,654
7,Aug to Oct 2004,654
8,Sep to Nov 2004,658
9,Oct to Dec 2004,662
10,Nov to Jan 2005,661
11,Dec to Feb 2005,655
12,Jan to Mar 2005,642
13,Feb to Apr 2005,638
14,Mar to May 2005,642
15,Apr to Jun 2005,642
16,May to Jul 2005,633
17,Jun to Aug 2005,624
18,Jul to Sep 2005,622
19,Aug to Oct 2005,608
20,Sep to Nov 2005,606
21,Oct to Dec 2005,609
22,Nov to Jan 2006,615
23,Dec to Feb 2006,612
24,Jan to Mar 2006,600
25,Feb to Apr 2006,598
26,Mar to May 2006,597
27,Apr to Jun 2006,604
28,May to Jul 2006,607
29,Jun to Aug 2006,611
30,Jul to Sep 2006,611
31,Aug to Oct 2006,618
32,Sep to Nov 2006,620
33,Oct to Dec 2006,620
34,Nov to Jan 2007,619
35,Dec to Feb 2007,629
36,Jan to Mar 2007,642
37,Feb to Apr 2007,648
38,Mar to May 2007,651
39,Apr to Jun 2007,658
40,May to Jul 2007,670
41,Jun to Aug 2007,681
42,Jul to Sep 2007,683
43,Aug to Oct 2007,686
44,Sep to Nov 2007,691
45,Oct to Dec 2007,687
46,Nov to Jan 2008,678
47,Dec to Feb 2008,687
48,Jan to Mar 2008,697
49,Feb to Apr 2008,696
50,Mar to May 2008,679
51,Apr to Jun2008,657
52,May to Jul 2008,643
53,Jun to Aug 2008,624
54,Jul to Sep 2008,615
55,Aug to Oct 2008,596
56,Sep to Nov 2008,562
57,Oct to Dec 2008,527
58,Nov to Jan 2009,497
59,Dec to Feb 2009,478
60,Jan to Mar 2009,465
61,Feb to Apr 2009,455
62,Mar to May 2009,443
63,Apr to Jun 2009,431
64,May to Jul 2009,430
65,Jun to Aug 2009,438
66,Jul to Sep 2009,436
67,Aug to Oct 2009,432
68,Sep to Nov 2009,437
69,Oct to Dec 2009,454
70,Nov to Jan 2010,463
71,Dec to Feb 2010,467
72,Jan to Mar 2010,465
73,Feb to Apr 2010,469
74,Mar to May 2010,479
75,Apr to Jun 2010,484
76,May to Jul 2010,479
77,Jun to Aug 2010,461
78,Jul to Sep 2010,455
79,Aug to Oct 2010,454
80,Sep to Nov 2010,474
81,Oct to Dec 2010,483
82,Nov to Jan 2011,493
83,Dec to Feb 2011,490
84,Jan to Mar 2011,484
85,Feb to Apr 2011,472
86,Mar to May 2011,461
87,Apr to Jun 2011,460
88,May to Jul 2011,457
89,Jun to Aug 2011,462
90,Jul to Sep 2011,464
91,Aug to Oct 2011,467
92,Sep to Nov 2011,462
93,Oct to Dec 2011,465
94,Nov to Jan 2012,473
95,Dec to Feb 2012,473
96,Jan to Mar 2012,467
97,Feb to Apr 2012,465
98,Mar to May 2012,471
99,Apr to Jun 2012,474
100,May to Jul 2012,479
101,Jun to Aug 2012,484
102,Jul to Sep 2012,488
103,Aug to Oct 2012,491
104,Sep to Nov 2012,494
105,Oct to Dec 2012,501
106,Nov to Jan 2013,501
107,Dec to Feb 2013,504
108,Jan to Mar 2013,504
109,Feb to Apr 2013,516
110,Mar to May 2013,522
111,Apr to Jun 2013,533
112,May to Jul 2013,540
113,Jun to Aug 2013,536
114,Jul to Sep 2013,548
115,Aug to Oct 2013,553
116,Sep to Nov 2013,568
117,Oct to Dec 2013,573
118,Nov to Jan 2014,581
119,Dec to Feb 2014,595
120,Jan to Mar 2014,615
121,Feb to Apr 2014,637
122,Mar to May 2014,653
123,Apr to Jun 2014,662
124,May to Jul 2014,670
125,Jun to Aug 2014,682
126,Jul to Sep 2014,687
127,Aug to Oct 2014,703
128,Sep to Nov 2014,704
129,Oct to Dec 2014,708
130,Nov to Jan 2015,708
131,Dec to Feb 2015,719
132,Jan to Mar 2015,727
133,Feb to Apr 2015,727
134,Mar to May 2015,727
135,Apr to Jun 2015,732
136,May to Jul 2015,742
137,Jun to Aug 2015,743
138,Jul to Sep 2015,742
139,Aug to Oct 2015,743
140,Sep to Nov 2015,743
141,Oct to Dec 2015,745
142,Nov to Jan 2016,747
143,Dec to Feb 2016,743
144,Jan to Mar 2016,744
145,Feb to Apr 2016,744
146,Mar to May 2016,747
147,Apr to Jun 2016,750
148,May to Jul 2016,749
149,Jun to Aug 2016,754
150,Jul to Sep 2016,755
151,Aug to Oct 2016,758
152,Sep to Nov 2016,755
153,Oct to Dec 2016,757
154,Nov to Jan 2017,759
155,Dec to Feb 2017,770
156,Jan to Mar 2017,777
157,Feb to Apr 2017,792
158,Mar to May 2017,784
159,Apr to Jun 2017,781
160,May to Jul 2017,781
161,Jun to Aug 2017,790
162,Jul to Sep 2017,798
163,Aug to Oct 2017,805
164,Sep to Nov 2017,816
165,Oct to Dec 2017,821
166,Nov to Jan 2018,828
167,Dec to Feb 2018,819
168,Jan to Mar 2018,818
169,Feb to Apr 2018,816
170,Mar to May 2018,820
171,Apr to Jun 2018,828
172,May to Jul 2018,834
173,Jun to Aug 2018,839
174,Jul to Sep 2018,843
175,Aug to Oct 2018,857
176,Sep to Nov 2018,858
177,Oct to Dec 2018,857
178,Nov to Jan 2019,865
179,Dec to Feb 2019,852
180,Jan to Mar 2019,850
181,Feb to Apr 2019,843
182,Mar to May 2019,836
183,Apr to Jun 2019,819
184,May to Jul 2019,817
185,Jun to Aug 2019,811
186,Jul to Sep 2019,816
187,Aug to Oct 2019,804
188,Sep to Nov 2019,803
189,Oct to Dec 2019,811
190,Nov to Jan 2020,822
191,Dec to Feb 2020,826
192,Jan to Mar 2020,801
193,Feb to Apr 2020,642
194,Mar to May 2020,473
195,Apr to Jun 2020,326
196,May to Jul 2020,365
197,Jun to Aug 2020,423
198,Jul to Sep 2020,488
199,Aug to Oct 2020,524
200,Sep to Nov 2020,553
201,Oct to Dec 2020,601
202,Nov to Jan 2021,626
203,Dec to Feb 2021,628
204,Jan to Mar 2021,634
205,Feb to Apr 2021,668
206,Mar to May 2021,767
207,Apr to Jun 2021,864
208,May to Jul 2021,964
209,Jun to Aug 2021,1046
210,Jul to Sep 2021,1121
211,Aug to Oct 2021,1186
212,Sep to Nov 2021,1214
213,Oct to Dec 2021,1241
214,Nov to Jan 2022,1264
215,Dec to Feb 2022,1281
216,Jan to Mar 2022,1293
217,Feb to Apr 2022,1302
218,Mar to May 2022,1306
219,Apr to Jun 2022,1296
220,May to Jul 2022,1273
221,Jun to Aug 2022,1253
222,Jul to Sep 2022,1232
223,Aug to Oct 2022,1207
224,Sep to Nov 2022,1171
225,Oct to Dec 2022,1151
226,Nov to Jan 2023,1131
227,Dec to Feb 2023,1122
228,Jan to Mar 2023,1105
