Sector,Growth compared with last quarter (%),Growth compared with same quarter in 2020 (%)
"Electricity gas steam &
air conditioning supply",20.0,81.8
"Arts entertainment &
recreation",14.4,30.0
"Administrative & support
service activities",7.9,42.0
"Accommodation & food
service activities",-2.2,56.9
"Wholesale & retail trade;
repair of motor vehicles
and motor cycles",-4.4,9.0
"Professional scientific &
technical activities",-6.9,54.9
"Information &
communication",-9.6,15.7
Mining & quarrying,-16.7,7.1
Real estate activities,-20.1,-17.9
