date,Sector,key_youth_sectors,wanted_youth_sectors,Growth since pre-coronavirus January to March 2020 (%),Growth since previous quarter (%)
"November 2023 to January 2024 three-month average vacancies in the UK, quarterly percentage growth from August to October 2023 and percentage growth from pre-coronavirus January to March 2020",Accommodation & food service,True,False,26.4,-5.9
"November 2023 to January 2024 three-month average vacancies in the UK, quarterly percentage growth from August to October 2023 and percentage growth from pre-coronavirus January to March 2020",Arts entertainment & recreation,False,True,-14.1,-8.7
"November 2023 to January 2024 three-month average vacancies in the UK, quarterly percentage growth from August to October 2023 and percentage growth from pre-coronavirus January to March 2020",Construction,False,False,33.3,2.3
"November 2023 to January 2024 three-month average vacancies in the UK, quarterly percentage growth from August to October 2023 and percentage growth from pre-coronavirus January to March 2020","Electricity, gas & air conditioning",False,False,45.5,-11.1
"November 2023 to January 2024 three-month average vacancies in the UK, quarterly percentage growth from August to October 2023 and percentage growth from pre-coronavirus January to March 2020",Financial & insurance,False,True,15.0,-3.2
"November 2023 to January 2024 three-month average vacancies in the UK, quarterly percentage growth from August to October 2023 and percentage growth from pre-coronavirus January to March 2020",Health & social work,True,False,22.6,-6.4
"November 2023 to January 2024 three-month average vacancies in the UK, quarterly percentage growth from August to October 2023 and percentage growth from pre-coronavirus January to March 2020",Information & communication,False,False,2.5,6.2
"November 2023 to January 2024 three-month average vacancies in the UK, quarterly percentage growth from August to October 2023 and percentage growth from pre-coronavirus January to March 2020",Real estate activities,False,False,-10.0,41.6
"November 2023 to January 2024 three-month average vacancies in the UK, quarterly percentage growth from August to October 2023 and percentage growth from pre-coronavirus January to March 2020",Wholesale & retail; motor vehicles,False,False,-3.8,-5.1
