date,Sector,key_youth_sectors,wanted_youth_sectors,Growth since pre-coronavirus January to March 2020 (%),Growth since previous quarter (%)
2024-10-01,"Arts entertainment &
recreation",False,True,-9.2,-12.7
2024-10-01,Financial & insurance,False,True,-0.8,4.5
