sector,Value,Suffix,Note,indicator,sign
Monthly,-0.5,%,As at 16 August 2023. This is a decrease since the last update.,a decrease,
Quarterly,0.4,%,As at 16 August 2023. This is a decrease since the last update.,a decrease,+
Yearly,6.9,%,As at 16 August 2023. This is a decrease since the last update.,a decrease,+
