sector,monthly_pct_change,quarterly_pct_change,yearly_pct_change
Food & non-alcoholic beverages,0.91,3.42,18.24
Clothing & footwear,1.3,3.64,7.06
"Housing, water, electricity, gas & other fuels",0.14,1.12,12.21
Recreation & culture,0.65,3.06,6.58
