date,freq,variable,value
1988-01-01,m,D7BT,48.4
1988-01-01,m,D7BU,48.0
1988-01-01,m,D7BV,27.3
1988-01-01,m,D7BW,192.5
1988-01-01,m,D7BX,31.7
1988-01-01,m,D7BY,68.9
1988-01-01,m,D7BZ,37.9
1988-01-01,m,D7C2,40.5
1988-01-01,m,D7C3,98.1
1988-01-01,m,D7C4,73.7
1988-01-01,m,D7C5,12.3
1988-01-01,m,D7C6,32.9
1988-01-01,m,D7C7,45.3
1988-02-01,m,D7BT,48.6
1988-02-01,m,D7BU,48.3
1988-02-01,m,D7BV,27.4
1988-02-01,m,D7BW,193.7
1988-02-01,m,D7BX,31.7
1988-02-01,m,D7BY,69.3
1988-02-01,m,D7BZ,37.9
1988-02-01,m,D7C2,40.5
1988-02-01,m,D7C3,98.0
1988-02-01,m,D7C4,73.9
1988-02-01,m,D7C5,12.3
1988-02-01,m,D7C6,33.0
1988-02-01,m,D7C7,45.5
1988-03-01,m,D7BT,48.7
1988-03-01,m,D7BU,48.4
1988-03-01,m,D7BV,27.5
1988-03-01,m,D7BW,195.3
1988-03-01,m,D7BX,31.7
1988-03-01,m,D7BY,69.8
1988-03-01,m,D7BZ,38.5
1988-03-01,m,D7C2,40.7
1988-03-01,m,D7C3,98.1
1988-03-01,m,D7C4,74.0
1988-03-01,m,D7C5,12.3
1988-03-01,m,D7C6,33.1
1988-03-01,m,D7C7,45.6
1988-04-01,m,D7BT,49.3
1988-04-01,m,D7BU,48.7
1988-04-01,m,D7BV,27.9
1988-04-01,m,D7BW,195.6
1988-04-01,m,D7BX,32.5
1988-04-01,m,D7BY,70.1
1988-04-01,m,D7BZ,38.7
1988-04-01,m,D7C2,41.2
1988-04-01,m,D7C3,98.1
1988-04-01,m,D7C4,75.3
1988-04-01,m,D7C5,12.4
1988-04-01,m,D7C6,33.5
1988-04-01,m,D7C7,45.8
1988-05-01,m,D7BT,49.5
1988-05-01,m,D7BU,48.8
1988-05-01,m,D7BV,28.0
1988-05-01,m,D7BW,198.4
1988-05-01,m,D7BX,32.8
1988-05-01,m,D7BY,70.5
1988-05-01,m,D7BZ,38.8
1988-05-01,m,D7C2,41.4
1988-05-01,m,D7C3,98.0
1988-05-01,m,D7C4,75.6
1988-05-01,m,D7C5,12.4
1988-05-01,m,D7C6,33.7
1988-05-01,m,D7C7,46.0
1988-06-01,m,D7BT,49.7
1988-06-01,m,D7BU,48.9
1988-06-01,m,D7BV,28.0
1988-06-01,m,D7BW,199.1
1988-06-01,m,D7BX,33.1
1988-06-01,m,D7BY,70.6
1988-06-01,m,D7BZ,38.9
1988-06-01,m,D7C2,41.7
1988-06-01,m,D7C3,98.0
1988-06-01,m,D7C4,75.6
1988-06-01,m,D7C5,12.4
1988-06-01,m,D7C6,33.8
1988-06-01,m,D7C7,46.2
1988-07-01,m,D7BT,49.7
1988-07-01,m,D7BU,48.5
1988-07-01,m,D7BV,28.0
1988-07-01,m,D7BW,195.6
1988-07-01,m,D7BX,33.4
1988-07-01,m,D7BY,70.5
1988-07-01,m,D7BZ,39.0
1988-07-01,m,D7C2,42.0
1988-07-01,m,D7C3,98.0
1988-07-01,m,D7C4,75.7
1988-07-01,m,D7C5,12.4
1988-07-01,m,D7C6,33.9
1988-07-01,m,D7C7,46.6
1988-08-01,m,D7BT,49.9
1988-08-01,m,D7BU,48.7
1988-08-01,m,D7BV,28.0
1988-08-01,m,D7BW,195.8
1988-08-01,m,D7BX,33.4
1988-08-01,m,D7BY,70.9
1988-08-01,m,D7BZ,39.2
1988-08-01,m,D7C2,42.1
1988-08-01,m,D7C3,98.0
1988-08-01,m,D7C4,75.8
1988-08-01,m,D7C5,12.4
1988-08-01,m,D7C6,34.1
1988-08-01,m,D7C7,46.8
1988-09-01,m,D7BT,50.1
1988-09-01,m,D7BU,48.9
1988-09-01,m,D7BV,28.1
1988-09-01,m,D7BW,198.6
1988-09-01,m,D7BX,33.4
1988-09-01,m,D7BY,71.4
1988-09-01,m,D7BZ,39.3
