Ethnic group,Female,Female,Female,Male,Male,Male
,Value (%),Uncertainty minus (%),Uncertainty plus (%),Value (%),Uncertainty minus (%),Uncertainty plus (%)
---,---,---,---,---,---,---
Other,28,2,2,31,2,2
Black/African/Caribbean/Black British,35,1.5,1.5,31,1.5,1.5
Other Asian,31.5,2,2,33,2,2
Chinese,21,2.5,2.5,18,2.5,2.5
Bangladeshi,33,2.5,2.5,38.5,2.5,2.5
Pakistani,30.5,1,1,32,1,1
Indian,39,1.5,1.5,38,1.5,1.5
Mixed/Multiple,43,1.5,1.5,43.5,1.5,1.5
White,56,0.1,0.1,55.5,0.1,0.1
